round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_ece,fed_f1_best,fed_f1,fed_f1_best_threshold,fed_brier,fed_prevalence,fed_auprc,fed_auroc,fed_auprc_lift,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
1.0,0.689190295069921,0.12333827384496213,3.65056,3.65056,0.9971592150692714,0.38953931541010617,0.27038964830246326,0.21401985344821567,0.5115733071096971,0.2503289084893568,0.1132514951211835,0.1900269564928664,0.6164988454282894,1.6914125507008404,0.6412508184124954,0.17451953500241682,1.5322707207083603,0.26397073765494816,0.2664274501009195,0.501211404800415,0.38107051855335,0.2453683050548055,0.11389601892395189,0.027668769853534943,2.990016828523949,0.023304579826944685,0.03055535262837192
2.0,0.6813588312549126,0.13325778291305068,7.30112,7.30112,0.9971592150692714,0.3658285864464397,0.2794434349921922,0.2491429764653343,0.5066204163331748,0.2315285541548873,0.1132514951211835,0.21307342552917113,0.6449016525393803,1.8862018965652263,0.6279944058559958,0.1588640053042906,1.3948161384847326,0.2316320807627594,0.2558831484987828,0.49152615666389465,0.36836067655647015,0.23528570012868938,0.11389601892395189,0.018708368613633793,2.1553593322169036,0.015437616116548505,0.02088258896791286
3.0,0.6670474868705029,0.21036237181902862,10.95168,10.95168,0.9971592150692714,0.3517697236111677,0.2840314463409791,0.25750310369846763,0.5001245334889854,0.22202757032246312,0.1132514951211835,0.22322758089002942,0.6535426499417804,1.9721863353070457,0.5957428545053208,0.139805193167077,1.2274809469892414,0.19105164724500073,0.24014925373134327,0.4807383716106415,0.365062642201869,0.23305002388249277,0.11389601892395189,0.014060646006056728,1.740577648859471,0.013011407899788406,0.014772878788818661
4.0,0.6597266546216366,0.23882123691962343,14.60224,14.60224,0.9971592150692714,0.3422954414320098,0.2873904672586442,0.2631259875146123,0.5069455524435724,0.21592279562826341,0.1132514951211835,0.2273242581853218,0.657936110275016,2.0063644893476242,0.6028946992069599,0.144656036695808,1.2700710530751256,0.19261744966442954,0.2419612978320966,0.47294390201568604,0.35946731970806867,0.22884801967411483,0.11389601892395189,0.010441807508907707,1.380237912060693,0.010149876103938556,0.010646606355445787
5.0,0.6487603504638186,0.2731603373277765,18.2528,18.2528,0.9971592150692714,0.354965446390819,0.28988213356981146,0.26454499794244474,0.5277523620420559,0.22444496626466484,0.1132514951211835,0.23038620016242042,0.6596512703589431,2.032773663587894,0.574768830314295,0.13485504788959135,1.184018977692572,0.19250766564458072,0.22787108488424876,0.47112414240837097,0.3645892465151792,0.23307791168291253,0.11389601892395189,0.009737432162895025,1.3649355147499591,0.009201947340759539,0.0101278366357276
6.0,0.6497567456501795,0.39204147687460383,18.2528,18.2528,0.0,0.3314852049337982,0.30400593845298785,0.2777688599450522,0.5309229842626639,0.20896502572239417,0.1132514951211835,0.24615808175070472,0.6756978763353945,2.1781497565047143,0.574768830314295,0.13485504788959135,1.184018977692572,0.19250766564458072,0.22787108488424876,0.47112414240837097,0.3645892465151792,0.23307791168291253,0.11389601892395189,0.0,0.0,,
7.0,0.6298084748347597,0.4582780939956096,18.2528,18.2528,0.0,0.33486353123656115,0.3127291153876446,0.29168908138570754,0.5282329771947966,0.2097078629056701,0.1132514951211835,0.2572840597979361,0.6868686989092101,2.2817927364180837,0.574768830314295,0.13485504788959135,1.184018977692572,0.19250766564458072,0.22787108488424876,0.47112414240837097,0.3645892465151792,0.23307791168291253,0.11389601892395189,0.0,0.0,,
8.0,0.617757991071183,0.6183216415261308,18.2528,18.2528,0.0,0.33465779311650096,0.32408748379368313,0.298978694970825,0.5541412210742144,0.21105976854406558,0.1132514951211835,0.26612311768018704,0.6957560837329869,2.364006130115103,0.574768830314295,0.13485504788959135,1.184018977692572,0.19250766564458072,0.22787108488424876,0.47112414240837097,0.3645892465151792,0.23307791168291253,0.11389601892395189,0.0,0.0,,
9.0,0.6486418075977566,0.36087172353816016,21.90336,21.90336,0.9971592150692714,0.34189482561664686,0.2932276681348803,0.2680064802640301,0.5193120589900175,0.214982518591528,0.1132514951211835,0.23366632509122875,0.6630711281100667,2.058850064366692,0.5952868576268214,0.14126668852776186,1.2403127858409635,0.21124729632299927,0.23734939759036144,0.4819837808609009,0.3643334634087215,0.23249907608468043,0.11389601892395189,0.009468299158228954,1.4018729367526248,0.007645623953210579,0.010849387454643127
10.0,0.6431069204131237,0.33728560381207867,21.90336,21.90336,0.0,0.3094080446389418,0.30725819214295524,0.28793423255265527,0.5035644760663156,0.1952126570816618,0.1132514951211835,0.2480060014796228,0.6780070111436632,2.190316984648811,0.5952868576268214,0.14126668852776186,1.2403127858409635,0.21124729632299927,0.23734939759036144,0.4819837808609009,0.3643334634087215,0.23249907608468043,0.11389601892395189,0.0,0.0,,
11.0,0.6287931095993263,0.42376076060305923,21.90336,21.90336,0.0,0.33370618389548273,0.31716488250049957,0.29712671710925015,0.523945444846701,0.209056100594976,0.1132514951211835,0.2608149433159507,0.69238118009009,2.3099127372537573,0.5952868576268214,0.14126668852776186,1.2403127858409635,0.21124729632299927,0.23734939759036144,0.4819837808609009,0.3643334634087215,0.23249907608468043,0.11389601892395189,0.0,0.0,,
12.0,0.6124844049834113,0.5139578619448935,21.90336,21.90336,0.0,0.32811581991251754,0.3247042092599533,0.2991026321134414,0.549986506407089,0.2073176558030345,0.1132514951211835,0.2690812483954333,0.6984851595358191,2.3876454083391545,0.5952868576268214,0.14126668852776186,1.2403127858409635,0.21124729632299927,0.23734939759036144,0.4819837808609009,0.3643334634087215,0.23249907608468043,0.11389601892395189,0.0,0.0,,
13.0,0.6457507949656303,0.4810354242107121,25.55392,25.55392,0.9971592150692714,0.33970344899058685,0.2941606504640132,0.2700513536211989,0.5297784554684427,0.21528233050329737,0.1132514951211835,0.23500153286188963,0.6644367514247562,2.067512671840286,0.617542369082488,0.15060259768845558,1.3222814907078762,0.22762597142140886,0.2510182029756462,0.487316757440567,0.36200235387994456,0.2304079670680856,0.11389601892395189,0.00798883177253842,1.253719515982084,0.006579403327580242,0.009080969664392593
14.0,0.645085649846282,0.49549354446006805,25.55392,25.55392,0.0,0.3459123757933722,0.3044015007335735,0.28421450312753277,0.5347597542482987,0.21873935986007464,0.1132514951211835,0.2507333183414379,0.6794604860920238,2.2129820528414776,0.617542369082488,0.15060259768845558,1.3222814907078762,0.22762597142140886,0.2510182029756462,0.487316757440567,0.36200235387994456,0.2304079670680856,0.11389601892395189,0.0,0.0,,
15.0,0.6260720650494094,0.4692315287655357,25.55392,25.55392,0.0,0.3351926690527421,0.32137967650322274,0.2948354279777235,0.5675082062451692,0.21047947445069234,0.1132514951211835,0.2642398289141818,0.693872147518879,2.3386533733794796,0.617542369082488,0.15060259768845558,1.3222814907078762,0.22762597142140886,0.2510182029756462,0.487316757440567,0.36200235387994456,0.2304079670680856,0.11389601892395189,0.0,0.0,,
16.0,0.6088001543175515,0.5731781271916689,25.55392,25.55392,0.0,0.32360168166932335,0.3270884706584601,0.30238378339629635,0.550094162318404,0.20334802875503322,0.1132514951211835,0.27518453432194484,0.7043210109113517,2.4449743521952065,0.617542369082488,0.15060259768845558,1.3222814907078762,0.22762597142140886,0.2510182029756462,0.487316757440567,0.36200235387994456,0.2304079670680856,0.11389601892395189,0.0,0.0,,
17.0,0.6419738550124957,0.4976613048089392,29.20448,29.20448,0.9971592150692714,0.3528406663837957,0.29709351140090806,0.2704429911147308,0.5366030204059721,0.22367213040247627,0.1132514951211835,0.2380050658314345,0.6687333606656273,2.094928965075343,0.6299166806760379,0.15608382420993466,1.3704063204715826,0.2557867664250643,0.2624055544210741,0.496670126914978,0.3640477390598654,0.2317784378238944,0.11389601892395189,0.008112054148584071,1.3458597133867443,0.006657516819164251,0.009258301785314723
18.0,0.6389182718423713,0.47013164945449415,29.20448,29.20448,0.0,0.34504576255343117,0.3133236083608595,0.28136855648071646,0.5480622305692199,0.2170216116034859,0.1132514951211835,0.25398316456013986,0.6843048479033088,2.24847804971275,0.6299166806760379,0.15608382420993466,1.3704063204715826,0.2557867664250643,0.2624055544210741,0.496670126914978,0.3640477390598654,0.2317784378238944,0.11389601892395189,0.0,0.0,,
19.0,0.622216192306629,0.5197131554882917,29.20448,29.20448,0.0,0.3334899693528155,0.3237422123125518,0.3020333861710548,0.5265909210368076,0.20939720950460766,0.1132514951211835,0.26869540587008944,0.70009925593859,2.3819728343755258,0.6299166806760379,0.15608382420993466,1.3704063204715826,0.2557867664250643,0.2624055544210741,0.496670126914978,0.3640477390598654,0.2317784378238944,0.11389601892395189,0.0,0.0,,
20.0,0.6086592066778603,0.696134900868054,29.20448,29.20448,0.0,0.3242648065754153,0.33493616996684805,0.3087110372499738,0.5505878262317965,0.20374238948704831,0.1132514951211835,0.28057404877647063,0.7071392505082529,2.4963326418430256,0.6299166806760379,0.15608382420993466,1.3704063204715826,0.2557867664250643,0.2624055544210741,0.496670126914978,0.3640477390598654,0.2317784378238944,0.11389601892395189,0.0,0.0,,
