round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_auprc_lift,fed_auprc,fed_prevalence,fed_f1_best,fed_f1,fed_brier,fed_f1_best_threshold,fed_ece,fed_auroc,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
1.0,11.350382448748892,369.25335371238333,3.65056,3.65056,0.9971592150692714,1.664654882380357,0.18833542113515522,0.11381806735914383,0.2672889059518499,0.20650478720359464,0.2545527102008086,0.5143030165200118,0.3941286770153766,0.6023019524964571,0.5354606469523481,0.13104700615950288,1.150584606886064,0.0017490161783996502,0.21041123538810866,0.49271196126937866,0.3785768148718366,0.24411263461301402,0.11389601892395189,0.0246524068898368,2.65988934552297,0.020621079595686882,0.027320420499720954
2.0,11.06913330519307,340.8941419872998,7.30112,7.30112,0.9971592150692714,1.8541759795926744,0.21115554983258464,0.11381806735914383,0.2811118397275182,0.24505195444784414,0.2514698180148175,0.5278382476973841,0.3912321920003913,0.6422816211479665,0.5295525909623165,0.12960895702372383,1.1379586244385191,0.011092150170648464,0.20716566158212135,0.48855116963386536,0.37556997662138,0.24211257106698944,0.11389601892395189,0.01580991428897888,1.7823534235358238,0.013383908356586628,0.017435422625393094
3.0,10.575012219291375,438.22777181248847,10.95168,10.95168,0.9971592150692714,1.895462864274186,0.2169746582390608,0.11381806735914383,0.28261208203090316,0.24718875131144755,0.25040367801189867,0.5306068928766297,0.39000350664837913,0.652031670519542,0.5000559329064144,0.11839372060105444,1.0394895424756299,0.0008787346221441124,0.2045002711006687,0.4004644751548767,0.3734191625993861,0.24067550430245907,0.11389601892395189,0.011350238825894362,1.3509687876794487,0.010118394617214978,0.012197105709454077
4.0,10.167570034769025,435.8599735802956,14.60224,14.60224,0.9971592150692714,1.953993508729764,0.22337239979883283,0.11381806735914383,0.28611794841029586,0.25839630882750675,0.24204757975608898,0.5258080226503756,0.3793506213674614,0.6542403265078512,0.5413574962819739,0.13140125357995064,1.153694877322156,0.007725321888412017,0.21352426412092282,0.4868163764476776,0.37302143080940453,0.24007498223997395,0.11389601892395189,0.009870429350617925,1.2345590617042035,0.009477504508215178,0.01014723962968548
5.0,9.816606071645406,404.9767154766274,18.2528,18.2528,0.9971592150692714,1.9579578641833137,0.2240079975144273,0.11381806735914383,0.28581873981143885,0.2607229795749,0.24484954956481195,0.5540905113673488,0.38273964732331905,0.6533181591687528,0.532953705725095,0.1290926681497169,1.1334256400648366,0.02526487367563162,0.20850965607447872,0.48838570713996887,0.3749261503686026,0.24156726602305098,0.11389601892395189,0.00869381922131366,1.1421621965710074,0.008260532622261903,0.009007585512132307
6.0,9.847824254867186,448.6068629379205,18.2528,18.2528,0.0,2.065545283161631,0.23514333760392075,0.11381806735914383,0.2974691756914018,0.2742635530699151,0.23722113884772444,0.5710162500221473,0.37385176388692815,0.6655656620585656,0.532953705725095,0.1290926681497169,1.1334256400648366,0.02526487367563162,0.20850965607447872,0.48838570713996887,0.3749261503686026,0.24156726602305098,0.11389601892395189,0.0,0.0,,
7.0,9.29096401164512,510.60172465920584,18.2528,18.2528,0.0,2.1211156091044505,0.24119105098792493,0.11381806735914383,0.3075449685651635,0.28917184404463003,0.23612900404336531,0.5630464869398044,0.3735147482349995,0.6768526329079835,0.532953705725095,0.1290926681497169,1.1334256400648366,0.02526487367563162,0.20850965607447872,0.48838570713996887,0.3749261503686026,0.24156726602305098,0.11389601892395189,0.0,0.0,,
8.0,8.786469094868647,581.9067856856121,18.2528,18.2528,0.0,2.218680978450308,0.25224908454996864,0.11381806735914383,0.316213674898698,0.29879596676299075,0.23186221826987513,0.5414305654756296,0.3688759545053669,0.6843289378862838,0.532953705725095,0.1290926681497169,1.1334256400648366,0.02526487367563162,0.20850965607447872,0.48838570713996887,0.3749261503686026,0.24156726602305098,0.11389601892395189,0.0,0.0,,
9.0,9.79277756901671,513.6983227654175,21.90336,21.90336,0.9971592150692714,1.9811201714566014,0.2268899488561536,0.11381806735914383,0.28841186730211127,0.2651402333298192,0.24202675118757383,0.5346107775905351,0.3790903980978863,0.6561726708292318,0.587964252535328,0.1447038129369087,1.270490525516323,0.12235041588408908,0.23553868402024586,0.4912155866622925,0.3773727341560169,0.24287604662802345,0.11389601892395189,0.008132399953048382,1.118752620765008,0.007337176343048675,0.008720349537083855
10.0,9.513647710601335,545.8531694139095,21.90336,21.90336,0.0,2.033064040395515,0.2319784131323065,0.11381806735914383,0.30009953852846794,0.28063775983931183,0.2310009027128931,0.5290839223412173,0.3654140376729488,0.6674965978180388,0.587964252535328,0.1447038129369087,1.270490525516323,0.12235041588408908,0.23553868402024586,0.4912155866622925,0.3773727341560169,0.24287604662802345,0.11389601892395189,0.0,0.0,,
