round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_brier,fed_auprc_lift,fed_f1,fed_auroc,fed_f1_best_threshold,fed_ece,fed_auprc,fed_f1_best,fed_prevalence,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
1.0,0.6906679230058927,0.09047664544700695,3.66096,3.66096,1.0,0.24355611335846372,1.8687924184870723,0.2623595565850013,0.6463713508349689,0.5213995055531947,0.3811544231709804,0.2128860810030868,0.287570710535257,0.11506262982312578,0.6498396129869558,0.20853157727029553,1.8308943476727804,0.2569514545287694,0.26767562683532864,0.5120368599891663,0.3814625630405602,0.2432083657928628,0.11389601892395189,0.02542461673369422,2.736918008500652,0.02314691009519108,0.02708609721082008,0.011424273663324694
2.0,0.6608781303862892,0.16882266330752965,7.32192,7.32192,1.0,0.2193052635497187,1.931103907414224,0.27411621171638756,0.6522976900120443,0.5295845604872562,0.34513822935046523,0.2198141334763727,0.2960806820218686,0.11506262982312578,0.6556548155835479,0.21311813471595328,1.8711640382992822,0.2703862660944206,0.27216324279608434,0.525314211845398,0.3450446285604021,0.2183654586508085,0.11389601892395189,0.01837512723660112,2.1264025974287506,0.0168821774135961,0.0194909571025266,0.006185318099141782
3.0,0.6471920426935833,0.3406761507108697,10.98288,10.98288,1.0,0.22573369240942406,1.9912416752988087,0.2732472897527657,0.6584547003542836,0.5507729978838131,0.35536186253288404,0.22680129288060616,0.2995097029920712,0.11506262982312578,0.6584809270169567,0.2154652394277311,1.8917714724655719,0.2683588241674802,0.27303915769549275,0.5094375610351562,0.3548114917097277,0.2249829342420769,0.11389601892395189,0.013194961953714994,1.6516884229258721,0.013032236488076396,0.013381208765483781,0.00473843043261954
4.0,0.645229400685207,0.321727149609014,14.64384,14.64384,1.0,0.2169430218718234,2.0182622094697344,0.2781155188175518,0.6597701076820526,0.5441276381822711,0.340138495642798,0.23023797168391258,0.3033546260896863,0.11506262982312578,0.6589932458348746,0.21505648729699625,1.888182654045081,0.2696395563770795,0.2727959697732997,0.5127648711204529,0.33926024908952024,0.2161518480984564,0.11389601892395189,0.009751485181933936,1.3008945370820584,0.009931882932398847,0.00966796089737774,0.004514819284189177
5.0,0.6424559678397505,0.3410271139794533,18.3048,18.3048,1.0,0.21311390736060162,2.0398403220653623,0.2800916919367908,0.6608468571840619,0.5357230102831311,0.33584491254895116,0.2327744998315797,0.307488855811425,0.11506262982312578,0.6602038914444314,0.21506756026960513,1.88827987405956,0.2727935813274982,0.2759732209273494,0.5027444958686829,0.33501091607639094,0.21252343263289059,0.11389601892395189,0.008970420447906092,1.2666266194628406,0.009173587200181074,0.008857358810969707,0.004389873208796306
6.0,0.6405172431683285,0.3639818888973435,21.96576,21.96576,1.0,0.20919105933262175,2.084955757468812,0.28253782241292674,0.6636561533977342,0.5378481373974064,0.32752090517264776,0.23833296049292263,0.30619531548286877,0.11506262982312578,0.6603570073051362,0.21451186916996196,1.8834009405824013,0.2744812522752093,0.2763684913217624,0.5200237035751343,0.32647304447480563,0.20882740579514372,0.11389601892395189,0.00845110167751477,1.2640247447616275,0.008400570861549495,0.00852262743564744,0.00402416993644553
7.0,0.6401006177184283,0.4216498171038399,25.62672,25.62672,1.0,0.23847740200972423,2.1051415490417904,0.27110458994313785,0.6671314954097987,0.5679078915630613,0.37231729794116597,0.24024751484783047,0.31065262365984625,0.11506262982312578,0.6607430033418186,0.21599230958708787,1.896399115857644,0.2688839911841314,0.2775175644028103,0.5299655795097351,0.3717017077808382,0.23837150434725127,0.11389601892395189,0.008943244705971878,1.4095525275406544,0.008027962800926526,0.009702254555697308,0.004521981068941022
8.0,0.6407649680408068,0.35388858834458164,29.28768,29.28768,1.0,0.21052531409300254,2.1591047071656644,0.2829451523602438,0.6694297222556725,0.5456505308909404,0.33070535014895314,0.24680456236749265,0.3115232769083068,0.11506262982312578,0.6595937872985393,0.21357788230564514,1.8752005936945926,0.27394315739192737,0.27542530733888,0.5068080425262451,0.32967291649295427,0.2107982708448719,0.11389601892395189,0.008051584256434765,1.3483807960765262,0.007252540462648646,0.008727947423636218,0.004805144179478926
9.0,0.6421452381296018,0.4674753874920814,32.94864,32.94864,1.0,0.22504851277787563,2.195321120614377,0.2798214815569701,0.6726307239544209,0.5517583792187264,0.3559048712401765,0.25068713522738817,0.31563189455813057,0.11506262982312578,0.6597345795976335,0.2149410370297911,1.8871690078413252,0.2723726735762844,0.2763389489564999,0.5200895667076111,0.355389504945298,0.2256772283124835,0.11389601892395189,0.008574207746082965,1.5268525778628828,0.007368063667251532,0.009620098043846153,0.004362590489662276
10.0,0.6419447574289872,0.35203586067750214,36.6096,36.6096,1.0,0.22248081659485716,2.217697337839477,0.2835764910906948,0.6739683528661932,0.5518433193979774,0.3522141176810714,0.2536532114219702,0.31844313967534665,0.11506262982312578,0.659191539721851,0.21340289809960733,1.8736642431909403,0.2715380082498527,0.27515243902439024,0.5151947140693665,0.35140482460590317,0.2233744750731982,0.11389601892395189,0.008014836898534885,1.5182069749535003,0.006538052539165359,0.009316755213140869,0.003993209757203326
