round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_f1_best,fed_f1,fed_brier,fed_prevalence,fed_auprc,fed_ece,fed_f1_best_threshold,fed_auprc_lift,fed_auroc,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
1.0,0.1728304147254013,0.04634768108428066,3.65056,3.65056,0.9971592150692714,0.24316994131585884,0.1925296761016373,0.25271307406244625,0.11404116055132484,0.1686973934803743,0.3905914495811942,0.49770690050672217,1.4536414741433714,0.5510894952662213,0.4667239114091032,0.10523594895129734,0.9239651213934277,0.2045002711006687,0.2050625970940327,0.5219784379005432,0.4129464119002302,0.27151078457324246,0.11389601892395189,0.022781532497315987,2.4507392772939056,0.019029807649711752,0.025273851336496796
2.0,0.16986521744479258,0.026737389564854906,5.632,5.632,0.5412350858791136,0.2834872411399385,0.23821829762600255,0.24574463325036364,0.11404116055132484,0.2143695857867068,0.3830862447897974,0.5119120256927348,1.8631867128648698,0.6494443139175594,0.4134744417112854,0.09263210032924724,0.8133041102261658,0.2045002711006687,0.20451875282422052,0.5169032216072083,0.41345984766627186,0.27217532970687786,0.11389601892395189,0.018787888093053425,1.2618308430537581,,0.018787888093053425
3.0,0.16777113175926378,0.02757995290916615,7.61344,7.61344,0.5412350858791136,0.29443149970173577,0.2630994498530365,0.24948319834465937,0.11404116055132484,0.22506521883915165,0.3890944925205502,0.5171529640090707,1.9555449425275317,0.668965234649293,0.4151653673884626,0.09401133291145856,0.8254136869720593,0.2045002711006687,0.20453723788864786,0.5181052088737488,0.41536219118885676,0.2737534422176266,0.11389601892395189,0.013106244923154979,0.9246071744710207,,0.013106244923154979
4.0,0.16770761624548364,0.05331799463751656,9.59488,9.59488,0.5412350858791136,0.30468874588695277,0.2756316337411302,0.2451802284402529,0.11404116055132484,0.23675812468389698,0.3845121483853363,0.5204285058510657,2.0694390682219868,0.6824646242865379,0.40729354809092977,0.08976235859053586,0.7881079552962249,0.2045002711006687,0.20451875282422052,0.5144872069358826,0.41467728043449714,0.27328893237963514,0.11389601892395189,0.012587360380440348,0.9286039748694748,,0.012587360380440348
5.0,0.16584258759873616,0.032204847767913776,11.264,11.264,0.4559241291901578,0.29181663947834785,0.27607664137196114,0.2323084861834265,0.11404116055132484,0.22109797985245935,0.36727906433344115,0.5040536598341755,1.933835926542862,0.6619733390849156,0.40442215823563543,0.08868526972028434,0.7786511816492839,0.2045002711006687,0.2046112115732369,0.5171719193458557,0.4164280871529243,0.2748308227788416,0.11389601892395189,0.014833940168955157,0.6663386644795537,0.014833940168955157,
6.0,0.16441787680454586,0.03874163270374749,13.24544,13.24544,0.5412350858791136,0.302098563602172,0.2803014791943476,0.23814468327678662,0.11404116055132484,0.23244270004999842,0.3753929893679688,0.5146828157365027,2.035867447397012,0.6772205039467022,0.40173875916743723,0.08799196767241566,0.7725640325599764,0.2045002711006687,0.20457421804375336,0.5149543285369873,0.4148728213478715,0.27359567746113633,0.11389601892395189,0.010139452784220251,0.7808255483396351,,0.010139452784220251
7.0,0.16399363484454635,0.059254979420881315,15.22688,15.22688,0.5412350858791136,0.3143508967905871,0.2808290568750716,0.2447579972436794,0.11404116055132484,0.24350335658708072,0.3850733311501614,0.5308137599577408,2.1363688773404568,0.688688019684002,0.45521911367840545,0.09789854035828036,0.8595431278739162,0.2045002711006687,0.20521187823411496,0.5198060870170593,0.4147953099666649,0.2732942917558045,0.11389601892395189,0.009125188926899048,0.7304577874019742,,0.009125188926899048
8.0,0.15849425128765784,0.05416082633947352,17.20832,17.20832,0.5412350858791136,0.3237376845222276,0.29357431649533594,0.23630091923955795,0.11404116055132484,0.2541039120274931,0.37474297033666826,0.5265043135691384,2.231744991024181,0.6975548819465672,0.43020653787281476,0.09259184308305317,0.8129506540950876,0.2045002711006687,0.20509464828230894,0.5182508826255798,0.4142369430290387,0.27301528781232226,0.11389601892395189,0.008974204249367897,0.746629964793101,,0.008974204249367897
9.0,0.1541362350959155,0.06833666866130736,19.18976,19.18976,0.5412350858791136,0.32608126618399774,0.2949013819870078,0.2361625092842595,0.11404116055132484,0.2619671535349019,0.3751153874329004,0.5274496961400722,2.3049693431748888,0.7031608373089633,0.4244802983396222,0.09149367354016516,0.8033087934465495,0.2045002711006687,0.20458346517199294,0.5110061764717102,0.4141653595365967,0.27300111976940167,0.11389601892395189,0.00936445953638467,0.8119522660272196,,0.00936445953638467
10.0,0.1620299750803928,0.06808744572606931,22.84032,22.84032,0.9971592150692714,0.29375430443764267,0.27286772436351364,0.2417681204694333,0.11404116055132484,0.22646415481346535,0.3800284412698124,0.5124815199462034,1.9791339834339736,0.6653818931083961,0.4389266750092075,0.0938946988013783,0.8243896467010983,0.2045002711006687,0.2057919731818605,0.5188530087471008,0.4128688646074426,0.27176220443444726,0.11389601892395189,0.009638815895970165,1.3355235381168313,0.013549623245475147,0.00754230529965178
11.0,0.16147634356447305,0.05302794509457559,24.82176,24.82176,0.5412350858791136,0.3048447404778266,0.28258532436652817,0.23962582479857483,0.11404116055132484,0.23936460240085894,0.37806355659113455,0.5165092861932223,2.095450233225213,0.678854146492052,0.47484183800474955,0.1019242219331927,0.8948883630537365,0.2045002711006687,0.20614937051712898,0.5196965932846069,0.41288821031201417,0.27161476101009235,0.11389601892395189,0.006953027576876666,0.6463929641176946,,0.006953027576876666
12.0,0.15642800790873596,0.05132129060118139,26.8032,26.8032,0.5412350858791136,0.314138611407337,0.292835343974649,0.2319409909789475,0.11404116055132484,0.2543887822690944,0.36924739628308106,0.5234617852539706,2.2350694787428105,0.6906938082941687,0.42903994083887265,0.09276713571063125,0.8144897125207832,0.2045002711006687,0.2045002711006687,0.5058687925338745,0.4132069029951559,0.27213637604780505,0.11389601892395189,0.007517846114432237,0.7230187361128628,,0.007517846114432237
13.0,0.15275356467035525,0.06513644961157206,28.78464,28.78464,0.5412350858791136,0.3275110578831491,0.295571393229083,0.23596330216548123,0.11404116055132484,0.2668288079532993,0.37586538913780565,0.5295774594349772,2.3485854037551945,0.7027112285563335,0.48675064023537956,0.11590586515704279,1.0176463255878405,0.2045002711006687,0.20617077254245395,0.5193405747413635,0.4120972247481064,0.27079606193892136,0.11389601892395189,0.008078809615186639,0.8102919993689284,,0.008078809615186639
14.0,0.15364273148346028,0.12546540097778097,30.76608,30.76608,0.5412350858791136,0.33664992615049716,0.3039522304372041,0.2310511317140647,0.11404116055132484,0.2840438995860748,0.36976071783204956,0.528318926068353,2.5132666313246848,0.7125375846120667,0.489376663210213,0.11357140595292844,0.9971499181965247,0.2045002711006687,0.20540843491663163,0.5207688808441162,0.41395868349821685,0.27235620586155074,0.11389601892395189,0.007768458189224438,0.8151799526531249,,0.007768458189224438
15.0,0.1599149616339865,0.06895833249524705,32.4352,32.4352,0.4559241291901578,0.2967347517972993,0.27986094730108724,0.23094291711801404,0.11404116055132484,0.23274691514539625,0.3663673830638937,0.5185299480480579,2.0363271428558,0.6696680725581151,0.4664420130746212,0.10241859424667817,0.8992289213819038,0.2045002711006687,0.20470940519940112,0.5191165804862976,0.4148044851971138,0.27319925140623297,0.11389601892395189,0.011376849812472015,0.5977486916817725,0.011376849812472015,
16.0,0.1601941162999792,0.06724850247587683,34.41664,34.41664,0.5412350858791136,0.31132372824352234,0.2849334962563545,0.2404468720629142,0.11404116055132484,0.24853619027236945,0.3794513610095223,0.5195806753970026,2.182252130947914,0.6859936317980938,0.4886015086750093,0.11540291206786565,1.013230428579948,0.2045002711006687,0.2045848935975888,0.517851710319519,0.41163680311825834,0.2704179854630712,0.11389601892395189,0.005875396525994665,0.6421054067322984,,0.005875396525994665
17.0,0.15683754954524043,0.057174489390062665,36.39808,36.39808,0.5412350858791136,0.3215277365110776,0.2983669187070717,0.23446001377446052,0.11404116055132484,0.264359940736699,0.37290889260035737,0.5144199470218805,2.329239310532896,0.6981194163575787,0.5142681995537515,0.13705976439467715,1.203376252212921,0.2045002711006687,0.20504616509735807,0.5178409814834595,0.41247186877538033,0.2709636342259725,0.11389601892395189,0.0068905011137155026,0.779084277455695,,0.0068905011137155026
