round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_auprc_lift,fed_auprc,fed_brier,fed_f1_best,fed_ece,fed_f1_best_threshold,fed_prevalence,fed_auroc,fed_f1,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
1.0,0.6880354809703936,0.11653607967815767,0.91652,3.66096,1.0,1.880454475534145,0.213667242220991,0.23458468212834294,0.2824478177350991,0.3708369258668088,0.5009186625555697,0.11369216241737487,0.6475146234156209,0.25928021688816927,0.6541278610428323,0.20786958508816883,1.8250820972677093,0.2702642435054075,0.2758452931160301,0.5053303837776184,0.37059896120463987,0.2347955839367726,0.11389601892395189,0.02495184393316032,2.717677078692759,0.022319819916249067,0.02682530715319084,0.011115760808938637
2.0,0.6641945873744932,0.20621633775521903,1.83304,7.32192,1.0,1.9500028904688065,0.22032965349566283,0.21839867455359321,0.28367025953203734,0.3458533266636048,0.49605193726476865,0.11369216241737487,0.6533290865102699,0.2629537711644962,0.660244426173558,0.2139248082806302,1.8782465822924619,0.2783599088838269,0.2809838032393521,0.5071707367897034,0.34615241123410334,0.2187827066876333,0.11389601892395189,0.015783042759564304,1.842221285945925,0.015765892699748634,0.01588620512251542,0.006041075689454988
3.0,0.6465552262106045,0.3448914554556793,2.74956,10.98288,1.0,1.9883476994853984,0.2249727998425652,0.21801784071637068,0.28822389145733207,0.3440329781269405,0.5107940567920596,0.11369216241737487,0.6568431369422081,0.26288376413819636,0.6605167869247163,0.21777850953744887,1.9120818409189446,0.27462880676276147,0.2790276700284458,0.5259301662445068,0.34404721712497927,0.21841720547034368,0.11389601892395189,0.01211723005303124,1.5117384054592549,0.012904008243366637,0.011643401808391166,0.004995136366526457
4.0,0.6449726840158244,0.3364087594330941,3.66608,14.64384,1.0,2.005031054669716,0.2280568823858704,0.21367796182450152,0.2901907713098178,0.33643981795623157,0.5125290827890744,0.11369216241737487,0.6594804322229827,0.26926565784923634,0.6627332208935922,0.22074596949186237,1.938135955737434,0.28106474485644545,0.28236576723902973,0.5265862941741943,0.3365508214001494,0.2142370025249747,0.11389601892395189,0.00953214690253267,1.2665527608387492,0.010267804437231702,0.009052125742551402,0.004476283257546034
5.0,0.642932762615629,0.36921114894926543,4.5826,18.3048,1.0,2.046053129022027,0.2321864407317788,0.22602910573345308,0.2927128886057454,0.3559475057270305,0.535946536568827,0.11369216241737487,0.6621520854394088,0.2678042467531152,0.662760039071965,0.22260653661382024,1.9544716199646461,0.2788035849260339,0.2819277108433735,0.5202684998512268,0.35576895732132435,0.2264727282702073,0.11389601892395189,0.00873955692529259,1.2300774757850377,0.009463636224283247,0.00824139257528001,0.004152031978171388
6.0,0.6432728862987317,0.4122397515649909,5.49912,21.96576,1.0,2.0493505838750363,0.2340070939282699,0.21429659860993547,0.2952913459087511,0.3395197262488561,0.5245562023586697,0.11369216241737487,0.6646668659698662,0.2694471951653589,0.665345025339602,0.2243149166280911,1.9694710908013884,0.28459753267375104,0.28524173027989824,0.5071530938148499,0.33916653252789697,0.21483086268814958,0.11389601892395189,0.00804463234966957,1.199090305351092,0.008097375132958131,0.008026871988299936,0.004928590511211955
7.0,0.642556398753847,0.3661547604334463,6.41564,25.62672,1.0,2.0772015883568344,0.23723210943255782,0.2188318640726162,0.2967525976178584,0.34835186567571425,0.5144660885562152,0.11369216241737487,0.6668541738847205,0.2716861924080281,0.6656725409311663,0.22624041042004808,1.9863768071745185,0.2840306423099587,0.2858676687692927,0.5188046097755432,0.34831680344406724,0.21950795776425128,0.11389601892395189,0.00861904601739389,1.3598180566004885,0.00790579600318632,0.009217330402227414,0.004438800453213192
8.0,0.6399907183036571,0.36150106911826013,7.33216,29.28768,1.0,2.0894247761394307,0.23824293714350017,0.22068023048978755,0.2981232678669333,0.3502655408631566,0.512765641226722,0.11369216241737487,0.6681270930591903,0.2739401044164838,0.6643905516884561,0.2251657485180668,1.9769413421588464,0.28198801550934083,0.283598168596822,0.5239518284797668,0.3502034074623347,0.22168725465950997,0.11389601892395189,0.008387922172157716,1.4094510398044804,0.007838580893479179,0.00886658618173867,0.004539523037275458
9.0,0.6466282105595427,0.41105960165499467,8.24868,32.94864,1.0,2.1154268573337824,0.24115445816012415,0.21203394139442897,0.29959242575674516,0.3370106286669739,0.5190714978218678,0.11369216241737487,0.6705290181406464,0.27963934803679263,0.6637643214970753,0.22689561925225749,1.9921295001869659,0.27805777504609713,0.28055955026800894,0.5101974606513977,0.3368286097748386,0.21313004930755153,0.11389601892395189,0.007937939492040691,1.4212957391982854,0.007030983684395046,0.008736472219655109,0.004482279291194179
10.0,0.6383101007979612,0.4461551161600884,9.1652,36.6096,1.0,2.1201986232817296,0.24198271547648592,0.20157645347833156,0.29865354199803934,0.31786388598985177,0.525989389192544,0.11369216241737487,0.6717464962265232,0.27880867687246813,0.6636842810938643,0.2276015306581834,1.9983273586599406,0.2814928034645268,0.28205466789911526,0.5073190927505493,0.317512166590688,0.20280150545958056,0.11389601892395189,0.007441657100153537,1.4144908816560928,0.006257503679360409,0.008503259156585724,0.005342086254413167
