round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_brier,fed_ece,fed_prevalence,fed_f1_best,fed_auroc,fed_f1_best_threshold,fed_auprc,fed_auprc_lift,fed_f1,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
1.0,0.44062309364654983,81.03502992755166,20.747664,20.747664,1.0,0.3068702870181768,0.5422363156857697,0.9869565217391303,0.9934354485776805,0.6064610866372981,0.43971797823905945,0.9931808096372072,1.0063065472095052,0.0,0.5999578039289231,0.977525691972035,1.0107988717916092,0.9832657200811359,0.9832657200811359,0.5345834493637085,0.4322553257395204,0.21867674833723622,0.9670822942643391,0.0032670942301370113,1.9562650077396029,0.0007853211545225863,0.0036816920997074874,0.002968433412413428
2.0,2.895705649708986,146.1277237745666,41.495328,41.495328,1.0,0.6310891723719423,0.7862883917015532,0.9869565217391303,0.9934354485776805,0.6270190895741556,0.19256222248077393,0.9938191760296501,1.0069533501622006,0.0,0.43511572663197207,0.9598760081279452,0.9925484251142497,0.9832657200811359,0.9832657200811359,0.5414186716079712,0.4248790214781154,0.21236015825291865,0.9670822942643391,0.0008010815670597205,0.48404535972304075,0.00017675569497115675,0.0009041746587514675,0.0008641560725394257
3.0,2.4841191954069157,155.13782751299868,62.242992,62.242992,1.0,0.3817722751765585,0.6068032278962758,0.9869565217391303,0.9934354485776805,0.40969162995594727,0.3241139352321625,0.9831836859132876,0.9961773029077365,0.0,0.4393939393939394,0.9601711428618466,0.9928536056926264,0.9832657200811359,0.9832657200811359,0.5371450781822205,0.42947071847178386,0.21628142825856256,0.9670822942643391,0.0006486908982068948,0.3924742537758448,0.000177340008552949,0.0007267923397669993,0.0004216136517680401
4.0,3.317521866436328,168.3408930989925,82.990656,82.990656,1.0,0.4266553715148774,0.6431792364172314,0.9869565217391303,0.9934354485776805,0.801762114537445,0.28997695446014404,0.9970565912361958,1.0102335505917404,0.0,0.4858721302764625,0.9715379152845858,1.0046072821792649,0.9832657200811359,0.9832657200811359,0.5389256477355957,0.4269014713472856,0.2140811616643674,0.9670822942643391,0.0006273608692294718,0.3801878762610613,0.00018819812857300867,0.0006991771706344403,0.0010249146268863272
5.0,2.8990009364759186,176.12103310417788,103.73832,103.73832,1.0,0.3493078709822404,0.5800041863451835,0.9869565217391303,0.9934354485776805,0.8869309838472834,0.35786935687065125,0.9984289880703553,1.0116240848289944,0.008771929824561403,0.4802342663353494,0.9721532111843592,1.0052435216217845,0.9832657200811359,0.9832657200811359,0.5393747687339783,0.4261769272442767,0.2134640358139249,0.9670822942643391,0.00047049091225795836,0.28526505906017974,0.00012376479836138067,0.000527722745576415,0.00038044630610135037
6.0,2.9148379847667094,182.8104936907106,124.485984,124.485984,1.0,0.4348577648999659,0.6495239870703738,0.9869565217391303,0.9934354485776805,0.9030837004405287,0.3052680492401123,0.9986035072544737,1.0118009104340482,0.0,0.4589135293106412,0.9711496000696034,1.0042057494273104,0.9832657200811359,0.9832657200811359,0.5413286089897156,0.4232134843705003,0.21095180948577322,0.9670822942643391,0.0005318786802435398,0.3227661482263784,0.0001256458770246491,0.0005990382754167517,0.00030221157661796766
7.0,2.935782207980903,210.02196745412007,145.233648,145.233648,1.0,0.48510631879545835,0.6872290374144263,0.9869565217391303,0.9934354485776805,0.8781204111600586,0.28130948543548584,0.9982440705788803,1.0114367234940198,0.0,0.45786644162095425,0.9712549918521025,1.0043147285525866,0.9832657200811359,0.9832657200811359,0.5441886186599731,0.4188623195871748,0.20729144906853675,0.9670822942643391,0.0005888828732429401,0.35769397004810344,0.000187883717496231,0.0006551275680978042,0.00034571525208464517
8.0,2.9082819287568498,242.44751415528603,165.981312,165.981312,1.0,0.31787541433947447,0.5521188121774923,0.9869565217391303,0.9934354485776805,0.4140969162995596,0.4114601910114289,0.9796139646004944,0.992560404661294,0.0,0.3996593057964899,0.9597890308501232,0.9924584872895807,0.9832657200811359,0.9832657200811359,0.5421713590621948,0.4232401610015336,0.21097468012760023,0.9670822942643391,0.0005946893680838274,0.3616259598114766,0.0002448186791356379,0.0006526110727650065,0.0002445769464708441
9.0,3.5733448282822997,213.84189831553624,186.728976,186.728976,1.0,0.4499093828278611,0.660993829369545,0.9869565217391303,0.9934354485776805,0.7841409691629957,0.27605104446411133,0.9967044337423745,1.009876739034124,0.0,0.42230843765139797,0.9647046618130561,0.9975414373054037,0.9832657200811359,0.9832657200811359,0.5446789860725403,0.4200986018501909,0.20832714938952676,0.9670822942643391,0.0007127758992676271,0.43414785590630345,0.00016677539726657681,0.0008021664977150601,0.0008080561931843941
10.0,2.4295852755198815,202.67122041775764,207.47664,207.47664,1.0,0.05042996667387376,0.18647073429563768,0.9869565217391303,0.9934354485776805,0.3671071953010279,0.6366086602210999,0.9828318823985576,0.9958208500073491,0.9934354485776805,0.41094675480957066,0.9584486265460987,0.9910724580840269,0.9832657200811359,0.9832657200811359,0.5402206778526306,0.4263451275385526,0.2136075392956562,0.9670822942643391,0.0007626863334050607,0.46493182942651856,0.00019617984806010835,0.0008561341928346549,0.00028415989277315497
11.0,3.6120909259408185,211.528635148579,228.224304,228.224304,1.0,0.2723081448468883,0.5054560124874115,0.9869565217391303,0.9934354485776805,0.9383259911894274,0.3785824477672577,0.9991586051786873,1.0123633444541764,0.43986254295532645,0.5760388828980887,0.9745804902635471,1.0077534208243486,0.9832657200811359,0.9832657200811359,0.5393216609954834,0.4275165941649839,0.21460268768593616,0.9670822942643391,0.0008600932744951541,0.5257591625015721,0.0002728406134494631,0.0009557884063980915,0.0010686727657263535
12.0,2.7761954834419234,224.94801185940685,248.971968,248.971968,1.0,0.11644400696849505,0.3191225386184195,0.9869565217391303,0.9934354485776805,0.604992657856094,0.5636086463928223,0.992710995196042,1.0058305237669147,0.9934354485776805,0.33788113210495885,0.9510740305911023,0.9834468444224653,0.9832657200811359,0.9832657200811359,0.5391094088554382,0.4273435063195644,0.21446406169331816,0.9670822942643391,0.0007042072594012187,0.43082661444202586,0.00029212295972102755,0.0007718492426697507,0.00043758126412818524
13.0,3.351402950202571,210.55967578710406,269.719632,269.719632,1.0,0.10035155243777509,0.29580690705257917,0.9869565217391303,0.9956140350877194,0.948604992657856,0.5937287211418152,0.9992882823339452,1.0124947354044378,0.9934354485776805,0.45461187428696453,0.9687157904275534,1.0016890973735144,0.9832657200811359,0.9832657200811359,0.5389572978019714,0.426945848506585,0.21412059659929192,0.9670822942643391,0.0008572956438875082,0.5255225371222423,0.0001926956072952384,0.0009650452538109743,0.0013284154898143578
14.0,2.661297018284681,197.6421496099754,290.467296,290.467296,1.0,0.2035117820748417,0.4366168501584427,0.9869565217391303,0.9934354485776805,0.9265785609397943,0.5041198134422302,0.9989377261353175,1.0121395463045069,0.9934354485776805,0.4337052838857893,0.9644807389058122,0.9973098924735191,0.9832657200811359,0.9832657200811359,0.5390692949295044,0.4266095004474135,0.2138358281862709,0.9670822942643391,0.0008096906340632481,0.49680163980008274,0.00013572613375797008,0.0009197018286369271,0.0006486029297170453
15.0,2.690992685756706,209.35460948326516,311.21496,311.21496,1.0,0.18494979526157576,0.41432982501776333,0.9869565217391303,0.9934354485776805,0.9794419970631426,0.4906003773212433,0.9997252800269838,1.0129375083973846,0.9911504424778761,0.5169721974776126,0.9755982489205426,1.0088058221174254,0.9832657200811359,0.9832657200811359,0.5409744381904602,0.4249361578960371,0.21240370023529667,0.9670822942643391,0.0006615795616503779,0.4066234155819757,0.00012522165539728165,0.0007491460602630074,0.0003934863622066027
16.0,3.091322481478885,236.12765985262897,331.962624,331.962624,1.0,0.24623061623808082,0.48275728640349014,0.9869565217391303,0.9934354485776805,0.9148311306901615,0.45102590322494507,0.9988155801317262,1.0120157860365508,0.6407185628742516,0.521535624423711,0.9765262073938947,1.0097653665934807,0.9832657200811359,0.9832657200811359,0.5426756739616394,0.4226779968066703,0.21048554042129713,0.9670822942643391,0.0004889726467741842,0.30107840806226704,0.00014957408899506108,0.0005442854394115014,0.0003094490320395351
