round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_prevalence,fed_f1_best_threshold,fed_auroc,fed_brier,fed_f1_best,fed_f1,fed_auprc_lift,fed_ece,fed_auprc,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
1.0,0.6872903624932658,0.11702025111425077,0.4589,3.66096,1.0,0.11350330500472142,0.5016354388904752,0.6475666828862712,0.23543048416109508,0.2838284700181046,0.25870368726433146,1.911735670342697,0.37202839898095036,0.21511485496478877,0.6544534063704732,0.20814617925876283,1.827510576974087,0.2702169625246548,0.27664453832226915,0.5057416558265686,0.3718627386240974,0.23572632658266013,0.11389601892395189,0.03181718603813339,3.46678713223082,0.029618333947395752,0.03342568191427672,0.01576255958693669
2.0,0.663413168195252,0.21779101459274147,0.9178,7.32192,1.0,0.11350330500472142,0.49727384440734557,0.6527168062003188,0.21753835728224805,0.28240410568045476,0.2636869566184602,1.9509323803067793,0.34505771849003086,0.2197029740143896,0.6600688342447832,0.21419024253911217,1.8805770786609013,0.27779056386651324,0.28185478633588784,0.517711341381073,0.3453025829330642,0.2179684686727551,0.11389601892395189,0.028537042097316213,3.3421947463721153,0.032918639019880715,0.025830249385316327,0.011011546319036962
3.0,0.6462043351148299,0.3098731170595913,1.3767,10.98288,1.0,0.11350330500472142,0.5043543192869017,0.6561901006898204,0.21522902775936573,0.2866645540509038,0.26500359271402163,1.9917988727357727,0.34028248153544843,0.22464355407011974,0.6605727574794857,0.21808522608025416,1.9147747931898231,0.27643354325488895,0.27823990355635925,0.5122987031936646,0.3405139609527093,0.21579831473116404,0.11389601892395189,0.030125813599898958,3.863773066623253,0.039523042914589704,0.023665901037347177,0.01016215655265138
4.0,0.6439720021749131,0.3285612592687623,1.8356,14.64384,1.0,0.11350330500472142,0.5103225799093917,0.6583517118494289,0.21464019154619907,0.2879499420532996,0.2676624894307229,2.0220530952564064,0.3380209689915913,0.22822035916621802,0.6625274475333776,0.22072761095628118,1.937974768930778,0.27925746569814364,0.28295561217647847,0.525257408618927,0.33820810512505467,0.21523111876153875,0.11389601892395189,0.03110694891866649,4.30102830167516,0.040364355532067894,0.024285885498243256,0.00964588337687957
5.0,0.6416654809554634,0.34441582693416495,2.2945,18.3048,1.0,0.11350330500472142,0.5326203845865817,0.6606096657564929,0.2280314549169167,0.290142746010479,0.26368539064380686,2.039794485304146,0.359358167582651,0.23067279855228864,0.6625932694077649,0.2226297977126189,1.9546758509730555,0.2796493821945295,0.28210582291943637,0.5381502509117126,0.35923697276002386,0.22845173117489706,0.11389601892395189,0.024298881473682664,3.5946897924386576,0.0270754525375725,0.022299413074610922,0.00964243894835402
6.0,0.6436135562507881,0.42001826669904946,2.7534,21.96576,1.0,0.11350330500472142,0.5286061789016135,0.6634886515442432,0.21871398604784179,0.2958582352901447,0.26720809387294236,2.0457243107251744,0.34668209003621686,0.23204331665368744,0.6644167674931452,0.22337266973928305,1.9611982214095514,0.28324697754749567,0.2848399246704331,0.5035632252693176,0.3464745943273246,0.21930147119260018,0.11389601892395189,0.023643633646369226,3.631314857966572,0.025098761809193487,0.022657678420651674,0.010890305593547981
7.0,0.6426543229117726,0.4163248679265864,3.2123,25.62672,1.0,0.11350330500472142,0.5344069448195053,0.664937159776149,0.22183708894973928,0.29526868894485647,0.26624471438425357,2.0754131022114684,0.3526777747876621,0.23538591172337112,0.6642080701106746,0.2250126303619154,1.9755969742204582,0.28371880009159606,0.2844527074134325,0.5019180178642273,0.3525866009960586,0.2225478103237178,0.11389601892395189,0.021098984901692198,3.505661554044309,0.019820958232166255,0.022202688189745304,0.010580354705832445
8.0,0.6424115780657689,0.3947957251305218,3.6712,29.28768,1.0,0.11350330500472142,0.543165318296884,0.6674186291551931,0.22326042444761704,0.29741025195593085,0.2718276415958163,2.0992847894200737,0.3546622764747174,0.23791875309443225,0.663671894784995,0.22443754389237053,1.970547750595453,0.2827906976744186,0.28396629343183655,0.4991287887096405,0.35452982767943164,0.22423528737484,0.11389601892395189,0.022388621581022287,4.077434372392418,0.02198964934216064,0.022813245575445472,0.00910589458426905
9.0,0.6467834287542084,0.43716742611879666,4.1301,32.94864,1.0,0.11350330500472142,0.5292878976605919,0.6697304505067734,0.21339743502735636,0.29976372301062393,0.2739189452350182,2.118275286547032,0.3393310614767448,0.2403236341834214,0.662311747556835,0.22534083495888052,1.9784785902775064,0.2808029811275394,0.28286604361370715,0.5054759979248047,0.3390760061699657,0.214662854058987,0.11389601892395189,0.019440429806172017,3.793722747929678,0.019223679052312127,0.019700297319264724,0.009233004437450778
10.0,0.6403255278523778,0.4637694507977108,4.589,36.6096,1.0,0.11350330500472142,0.5223630508725133,0.6700331871296401,0.19890686787141545,0.29730654907854426,0.2771963054823978,2.1267339929990445,0.3150811785613362,0.24168711982260926,0.662852578729111,0.22532901958411716,1.9783748520180398,0.27840831396143856,0.2839190132650687,0.47349634766578674,0.31488850769736426,0.20042170882585045,0.11389601892395189,0.01966046350206374,4.16728345464071,0.016851595708607253,0.02249095357024812,0.009735374630322488
