cell,n_seeds,fed_auroc_final_mean,fed_auroc_final_std,fed_auroc_final_ci_lo,fed_auroc_final_ci_hi,fed_auroc_best_mean,fed_auroc_best_std,fed_auroc_best_ci_lo,fed_auroc_best_ci_hi,fed_auroc_ppd_mean,fed_auroc_ppd_std,fed_auroc_ppd_ci_lo,fed_auroc_ppd_ci_hi,fed_auprc_final_mean,fed_auprc_final_std,fed_auprc_final_ci_lo,fed_auprc_final_ci_hi,fed_f1_final_mean,fed_f1_final_std,fed_f1_final_ci_lo,fed_f1_final_ci_hi,total_upload_mb_mean,total_upload_mb_std,total_upload_mb_ci_lo,total_upload_mb_ci_hi,divergence_total_mean_mean,divergence_total_mean_std,divergence_total_mean_ci_lo,divergence_total_mean_ci_hi
mlp_fedavg,3,0.7386974817843237,0.0019664581631009975,0.7375360548444938,0.7398414470535459,0.7386974817843237,0.0019664581631009975,0.7375360548444938,0.7398414470535459,0.0,0.0,0.0,0.0,0.33810930627459235,0.006737959885197923,0.3335116039389275,0.34222003042481997,0.3099736289321159,7.220002640136628e-05,0.30990350332601496,0.31004773841670386,219.6576,0.0,219.6576,219.6576,0.0048111604176236345,5.561661364300112e-05,0.004774339236915747,0.004870163093903424
mlp_fedper,3,0.7428392943743605,0.0024807407196939376,0.7403353169547323,0.7444928975109076,0.7428787088116714,0.0024828027798625705,0.7403353169547323,0.7445323119482187,3.941443731096209e-05,6.826780797432479e-05,0.0,7.882887462192419e-05,0.33292376425549713,0.009493105748698664,0.32196707363286176,0.33849770983754074,0.32233403433851665,0.004406359579430795,0.31963214159428754,0.32738528883940327,219.0336,0.0,219.0336,219.0336,0.004975620878321324,9.015340552128284e-05,0.004901635404196577,0.005033754015729394
mlp_nested,3,0.6934692487375367,0.005557266506943834,0.6895750487673397,0.6968886717538152,0.7491369998603813,0.005067778627567669,0.7433436462090599,0.7522717640465428,0.055667751122844646,0.005270223981699643,0.05234426657996483,0.05880111754192293,0.26513876499616934,0.007671139190377354,0.25731394691548565,0.2702495777424327,0.28629851741953355,0.002892287757330647,0.28331412561501396,0.2882234542808801,128.69632,0.0,128.69632,128.69632,0.006785696641867605,7.349644701351429e-05,0.006701345659659509,0.006830568047040664
resnet_fedavg,3,0.7309054586787537,0.012201594499604238,0.720274036394385,0.7388900970605138,0.7345738384611223,0.008483845557155116,0.728306569806331,0.739880965705567,0.003668379782368595,0.004061215850992403,0.0,0.0063458909196839235,0.3088136443652223,0.011862623443639034,0.29561875309477614,0.31647269090036556,0.3031377543286305,0.004967617295971601,0.2977118364066714,0.3063878644815848,1373.1935999999998,2.7847474288855413e-13,1373.1935999999998,1373.1935999999998,0.0025119543317046306,2.4895938435435217e-05,0.00248567054088992,0.002528457435656003
resnet_fedper,3,0.7519240764607282,0.0017800861812000612,0.7501525131754678,0.7531107603498027,0.7532677666293527,0.0013819317593414633,0.7517182084140851,0.7541525393684179,0.0013436901686244191,0.0012475910750026152,0.0,0.002165481924376378,0.33922420147332444,0.005866097141646348,0.33414994647541535,0.3430566216392242,0.32754541298222306,0.003236363036014249,0.32400878803197397,0.32966225549301104,1371.9552,0.0,1371.9552,1371.9552,0.0026667446218175835,1.0263487235286724e-05,0.0026607702299278565,0.0026726864591467754
resnet_nested,3,0.7166982676916813,0.003679459998535874,0.7124812532479027,0.7189562249299447,0.7725041620265477,0.002846416681836836,0.7704815210137065,0.7742633521314143,0.055805894334866345,0.0033881335020582637,0.052123096149258474,0.05802840244835598,0.29187649537951466,0.0037155145657236416,0.28914745006157544,0.2941966610580487,0.30256724575713567,0.005221242333476536,0.29743155988891823,0.30604673674115374,1166.32576,0.0,1166.32576,1166.32576,0.0031695201843749653,4.904273153441436e-05,0.003117500754237185,0.003201990667221261
transformer_fedavg,3,0.6672005339030352,0.006569456160656224,0.6607630314807696,0.6738944363582547,0.6680575753608613,0.0071534148060592604,0.6609979990837349,0.6728253336336057,0.0008570414578262057,0.000589268908413836,0.00023496760296526364,0.0012476647714089923,0.226868449539776,0.0025759958767062802,0.22394135184770766,0.22848468873427322,0.27477342844039704,0.006229642273716202,0.2681587190781639,0.27889677998277945,743.7408,0.0,743.7408,743.7408,0.00209792844639022,7.271460481355733e-05,0.002044425010095811,0.0021433600719893407
transformer_fedper,3,0.6698746916033063,0.007315039514792496,0.6646161827669128,0.6744121408262611,0.6705728540137077,0.00717575710807114,0.6655759548567063,0.6749793199904929,0.0006981624104014372,0.0002265612604209568,0.0005668223512843573,0.0008291456565711434,0.23385946587404485,0.005951978443855398,0.22995168677654884,0.2374454295731372,0.2723688317574878,0.0025357897020707783,0.26951147599032516,0.2739821618450831,743.1168000000001,1.3923737144427707e-13,743.1168000000001,743.1168000000001,0.002103089739605831,1.977262910740522e-05,0.002087945117610789,0.0021155942259211504
transformer_nested,3,0.6569015687281495,0.007772599568793017,0.6497707163325137,0.6620402615961845,0.6671441372992515,0.007460635218933766,0.6605190769484918,0.6720463043787208,0.010242568571101951,0.0004407732472692822,0.009940561847046614,0.010511834827412433,0.21703324274274108,0.005752045616362287,0.211045536331522,0.2208568588142411,0.26381174098589727,0.004748392034497184,0.25872907274742074,0.26694675380578675,600.58112,0.0,600.58112,600.58112,0.005436159472292871,0.0003962726944966614,0.005130690309288738,0.005687240658121907
