strategy,round,inversion_mse,inversion_nmse,inversion_feature_corr,match_objective,n_tensors_exposed,n_params_exposed
fedavg,2,0.12561547756195068,1.2172092075979195,0.31679117339441853,0.3746366500854492,8.0,45762.0
fedper,2,0.060021206736564636,0.5816032141011765,0.6292585033666116,0.07879738509654999,6.0,45632.0
nested,2,0.8219772577285767,7.964928414572789,0.09757461136677822,0.06159108877182007,4.0,24768.0
