arm,,upload_mb,auroc_mean,auroc_std
fedper,0,3.65056,0.60518719459088,0.024041317140900135
fedper,1,7.30112,0.626105865673106,0.01393462069852741
fedper,2,10.95168,0.6372442509695595,0.009497771289016677
fedper,3,14.60224,0.6440193105186065,0.007449054493787257
fedper,4,18.2528,0.6485983547317213,0.006481959804405742
fedper,5,21.90336,0.6615154738623867,0.004677473820678331
fedper,6,25.55392,0.6664822955648345,0.00492688608298967
fedper,7,29.20448,0.6693820485772866,0.005059740826203156
fedper,8,32.85504,0.6716686128369969,0.005122586715995635
fedper,9,36.5056,0.6738348096174138,0.0051410878617663205
fedper,10,40.15616,0.6758617113210802,0.005026379503339107
fedper,11,43.80672,0.6777591294226737,0.00489982327444739
fedper,12,47.45728,0.6795318791843583,0.004941332306059215
fedper,13,51.10784,0.6813044795062844,0.004923199997736041
fedper,14,54.7584,0.6831498233242483,0.004832124659679278
fedper,15,58.40896,0.6849515649328974,0.0046400144195036285
fedper,16,62.05952,0.6869431799850625,0.004695317298557849
fedper,17,65.71008,0.6888796185525392,0.004716336229669397
fedper,18,69.36064,0.6907107527136966,0.00466024147462036
fedper,19,73.0112,0.6924182211649663,0.004536640947064889
fedper,20,76.66176,0.6941101485470005,0.004594270584829902
fedper,21,80.31232,0.6955783492042859,0.0044334551974848846
fedper,22,83.96288,0.6972541040583503,0.0041514334766061855
fedper,23,87.61344,0.6989209232493654,0.004030568616460638
fedper,24,91.264,0.7006207676049361,0.0039891841607145335
fedper,25,94.91456,0.7022595500051748,0.00392360563568429
fedper,26,98.56512,0.7038603307102828,0.003930713052566153
fedper,27,102.21568,0.7053053171381085,0.003903443306636784
fedper,28,105.86624,0.7068002805149439,0.003802195478170139
fedper,29,109.5168,0.7082291713919926,0.0037284279546149018
fedper,30,113.16736,0.7094990105578964,0.0036251750489058507
fedper,31,116.81792,0.7108162287854076,0.0034237427442794497
fedper,32,120.46848,0.7122851670910634,0.0032461395184147967
fedper,33,124.11904,0.7136752367164941,0.003063110665741637
fedper,34,127.7696,0.7150840207248528,0.0030743730799304906
fedper,35,131.42016,0.7166176345790572,0.0029728163154200187
fedper,36,135.07072,0.7180494543230569,0.0029237174233425946
fedper,37,138.72128,0.7192832184801428,0.003081440822586066
fedper,38,142.37184,0.720514414628322,0.0035018283189687835
fedper,39,146.0224,0.7216035713650314,0.0035038443084246195
fedper,40,149.67296,0.7226222235841818,0.003616243541966784
fedper,41,153.32352,0.7237299616059998,0.003673652727495198
fedper,42,156.97408,0.7248351184770784,0.0037221365952033706
fedper,43,160.62464,0.7260252234288782,0.003636948754507373
fedper,44,164.2752,0.7271575949967254,0.0037759995622144893
fedper,45,167.92576,0.7282693528347476,0.0038963997399695817
fedper,46,171.57632,0.7293846229053282,0.00412003910239767
fedper,47,175.22688,0.7304680397894441,0.004310309258575135
fedper,48,178.87744,0.731559246275959,0.00444520939482505
fedper,49,182.528,0.73267357139114,0.004396703954123734
fedper,50,186.17856,0.7338210414373239,0.004349304055681713
fedper,51,189.82912,0.7349270623044233,0.004397464191708887
fedper,52,193.47968,0.7359846809577748,0.00441753871414705
fedper,53,197.13024,0.7370584422467051,0.004282811293329912
fedper,54,200.7808,0.7380913855788594,0.004223502385465291
fedper,55,204.43136,0.7391358321838201,0.0041452837293942495
fedper,56,208.08192,0.7402350878019708,0.004141230496452897
fedper,57,211.73248,0.741342780468549,0.004045598337201419
fedper,58,215.38304,0.7423838490313431,0.004064080175939842
fedper,59,219.0336,0.7435046530169831,0.004134923408312931
tierfed_0.25,0,3.65056,0.6058116914573335,0.023405553033557052
tierfed_0.25,1,7.30112,0.6268203908168077,0.013323795442642887
tierfed_0.25,2,10.95168,0.6378462001381947,0.009208694033313567
tierfed_0.25,3,14.60224,0.6445209428649419,0.007176578913195082
tierfed_0.25,4,18.2528,0.6491465990530088,0.00628181865190873
tierfed_0.25,5,18.2528,0.6643666615319094,0.004812998274966569
tierfed_0.25,6,18.2528,0.6731692647324802,0.005253484374471224
tierfed_0.25,7,18.2528,0.6815706943384527,0.0054390604734522825
