arm,,upload_mb,auroc_mean,auroc_std
tierfed_0.25,8,21.90336,0.6827522086955874,0.005571576754605818
tierfed_0.25,9,21.90336,0.6860991796609957,0.005592306885964131
tierfed_0.25,10,21.90336,0.6886522989541666,0.005625647844311974
tierfed_0.25,11,21.90336,0.691213155558067,0.005636518694047142
tierfed_0.25,12,25.55392,0.6852507681723766,0.005705327510455397
tierfed_0.25,13,25.55392,0.6883344552983528,0.0059325525392210235
tierfed_0.25,14,25.55392,0.690969176382249,0.0058449213143888425
tierfed_0.25,15,25.55392,0.69358263715753,0.005999778969673482
tierfed_0.25,16,29.20448,0.6876530957620478,0.005900786973456889
tierfed_0.25,17,29.20448,0.6910231412795966,0.005817034063239551
tierfed_0.25,18,29.20448,0.6937641711468905,0.005559490601755265
tierfed_0.25,19,29.20448,0.6965604148498052,0.005827589292482319
tierfed_0.25,20,32.85504,0.6903935323382087,0.005436940083061884
tierfed_0.25,21,32.85504,0.6937418175315127,0.0054626296450278385
tierfed_0.25,22,32.85504,0.6968265492967662,0.005439444882311354
tierfed_0.25,23,32.85504,0.6999145085226447,0.0054544119669139345
tierfed_0.25,24,36.5056,0.6933962801796275,0.005218170079340216
tierfed_0.25,25,36.5056,0.6967566480194753,0.005328660647782689
tierfed_0.25,26,36.5056,0.6996793129648536,0.005336474541607812
tierfed_0.25,27,36.5056,0.7025020231571152,0.005351684708881658
tierfed_0.25,28,40.15616,0.6955710404758229,0.005252234762499505
tierfed_0.25,29,40.15616,0.6992036481207273,0.005145107450880127
tierfed_0.25,30,40.15616,0.7021284254937588,0.005054235518158977
tierfed_0.25,31,40.15616,0.7048320648955483,0.0050177483727882775
tierfed_0.25,32,43.80672,0.6976965324372418,0.004891414489466849
tierfed_0.25,33,43.80672,0.701456308838423,0.004858282842249947
tierfed_0.25,34,43.80672,0.7045655354409585,0.0050242932230476645
tierfed_0.25,35,43.80672,0.7077876458207943,0.0053336302815489385
tierfed_0.25,36,47.45728,0.7007829236651948,0.005283525775477071
tierfed_0.25,37,47.45728,0.7046330836043224,0.005203379496319253
tierfed_0.25,38,47.45728,0.7079725185949962,0.00536613183830993
tierfed_0.25,39,47.45728,0.7108809286747434,0.005543963823716763
tierfed_0.25,40,51.10784,0.7033607456968076,0.005264962607009445
tierfed_0.25,41,51.10784,0.7073578935085234,0.005168101605670174
tierfed_0.25,42,51.10784,0.7106296425538554,0.00529910814080498
tierfed_0.25,43,51.10784,0.7136395497869674,0.005025833385177372
tierfed_0.25,44,54.7584,0.7059161504809374,0.004673402567379655
tierfed_0.25,45,54.7584,0.7100609607456371,0.00480213955321124
tierfed_0.25,46,54.7584,0.7133631823683065,0.005006573882204962
tierfed_0.25,47,54.7584,0.7165665811266773,0.005215682123796449
tierfed_0.25,48,58.40896,0.7085359908332411,0.005314121764309515
tierfed_0.25,49,58.40896,0.7127314820516604,0.0055153265503993356
tierfed_0.25,50,58.40896,0.715827858113999,0.005346779729072512
tierfed_0.25,51,58.40896,0.7188665490583361,0.005421412632302953
tierfed_0.25,52,62.05952,0.7104290393106119,0.005097187160550856
tierfed_0.25,53,62.05952,0.7146486355076191,0.005366836389872446
tierfed_0.25,54,62.05952,0.7179083268733863,0.0054681311451125056
tierfed_0.25,55,62.05952,0.7209700774101645,0.005769505776904871
tierfed_0.25,56,65.71008,0.7124616603539703,0.005613027786117761
tierfed_0.25,57,65.71008,0.7168131629187634,0.005804527693877022
tierfed_0.25,58,65.71008,0.7203184071261365,0.005774270376663856
tierfed_0.25,59,65.71008,0.7235090018785841,0.005725972540161033
tierfed_0.4,0,3.65056,0.6042266669660733,0.024137361259023906
tierfed_0.4,1,7.30112,0.6254567359985318,0.013927930448010377
tierfed_0.4,2,10.95168,0.6365521674972221,0.00954044263647965
tierfed_0.4,3,14.60224,0.6433058836720026,0.007538066530054187
tierfed_0.4,4,18.2528,0.64795854084047,0.00658589838089111
tierfed_0.4,5,18.2528,0.6635300535097222,0.004748483201393197
tierfed_0.4,6,19.92192,0.669060895835204,0.005081500193276201
tierfed_0.4,7,19.92192,0.6744977577157534,0.005467577915236658
tierfed_0.4,8,23.57248,0.677023303176787,0.005214379333035214
tierfed_0.4,9,23.57248,0.6816154414608075,0.005447379525884981
tierfed_0.4,10,25.55392,0.6833622691573558,0.0052054385868286175
tierfed_0.4,11,25.55392,0.6888038293593646,0.00541986712181922
tierfed_0.4,12,29.20448,0.6865371971184947,0.005007439444841484
tierfed_0.4,13,29.20448,0.6891084893220414,0.005767041871117438
tierfed_0.4,14,31.18592,0.6897573021444227,0.007459680354957403
tierfed_0.4,15,32.85504,0.6908398811629446,0.007082406669354219
tierfed_0.4,16,34.83648,0.6883440051293473,0.0050091752374879246
tierfed_0.4,17,34.83648,0.6932438336396108,0.004725576428453343
tierfed_0.4,18,36.81792,0.6940651968488759,0.005833786540826795
tierfed_0.4,19,38.48704,0.6956303458075457,0.005855276181252441
tierfed_0.4,20,40.46848,0.6960703481561705,0.005614832266372268
tierfed_0.4,21,40.46848,0.6996775288994121,0.004850457009364536
tierfed_0.4,22,42.44992,0.6993186040417848,0.006267931150017904
tierfed_0.4,23,44.11904,0.7018304540807203,0.00536056308023467
tierfed_0.4,24,46.10048,0.7010722849422135,0.004798939883755194
tierfed_0.4,25,47.7696,0.7020688266218122,0.004820386016249442
tierfed_0.4,26,49.75104,0.7012808007197748,0.005998133652542051
tierfed_0.4,27,49.75104,0.7044772895459667,0.005236501505118009
tierfed_0.4,28,51.73248,0.7033213641227689,0.004251688547697121
tierfed_0.4,29,53.4016,0.7061418107675459,0.004244903162360713
tierfed_0.4,30,55.38304,0.7065723879578657,0.005133420670385724
tierfed_0.4,31,55.38304,0.7088299708640673,0.005997194938056548
tierfed_0.4,32,57.36448,0.707025984781955,0.005179802734730173
tierfed_0.4,33,59.0336,0.7098621639009686,0.0028890616516988286
tierfed_0.4,34,61.01504,0.710313665345929,0.006073073431538539
tierfed_0.4,35,61.01504,0.7133663122559191,0.005542183953863655
tierfed_0.4,36,62.99648,0.7118952748508096,0.004542914708937585
tierfed_0.4,37,64.6656,0.714645838803046,0.0027613636885129647
tierfed_0.4,38,66.64704,0.7150565606033137,0.006319031103007174
tierfed_0.4,39,66.64704,0.717276826034205,0.006110130521359111
tierfed_0.4,40,68.62848,0.7151134036115125,0.004587933414540165
tierfed_0.4,41,70.2976,0.717818990591643,0.0033816177162827596
tierfed_0.4,42,72.27904,0.7178886498524828,0.006728600850931584
tierfed_0.4,43,72.27904,0.7200546923042003,0.006087515776468211
tierfed_0.4,44,74.26048,0.7174776441517978,0.004230438394058792
tierfed_0.4,45,75.9296,0.7201358772807165,0.0030607558416439746
tierfed_0.4,46,77.91104,0.7200199974268838,0.0064500101322397495
tierfed_0.4,47,77.91104,0.7223046013708465,0.005919871405604874
tierfed_0.4,48,79.89248,0.7198324698496632,0.0050494724958710276
tierfed_0.4,49,81.5616,0.7229658047144816,0.0034252460789447464
tierfed_0.4,50,83.54304,0.7227308185573149,0.006541734097909386
tierfed_0.4,51,83.54304,0.7252349950836275,0.006050752836184484
tierfed_0.4,52,85.52448,0.7226108909338937,0.004759499693487168
tierfed_0.4,53,87.1936,0.7252571735279117,0.003410051749658073
tierfed_0.4,54,89.17504,0.7247919387218877,0.006680963503522227
tierfed_0.4,55,89.17504,0.7272752398004135,0.00632727502087483
tierfed_0.4,56,91.15648,0.7247083501780318,0.0053908276367350665
tierfed_0.4,57,92.8256,0.727557472490243,0.003616984504266715
tierfed_0.4,58,94.80704,0.727692445355097,0.006557889768317156
tierfed_0.4,59,94.80704,0.7302892220133375,0.006135498980845035
tierfed_0.6,0,3.65056,0.6059097346458329,0.024054349815521285
tierfed_0.6,1,7.30112,0.6265984561277127,0.01410670886638272
tierfed_0.6,2,10.95168,0.6376841971300222,0.00957152099858567
tierfed_0.6,3,14.60224,0.6444734036503874,0.007567565660101816
tierfed_0.6,4,18.2528,0.6490688604737208,0.006580317967275954
tierfed_0.6,5,18.2528,0.6643362574330454,0.004121067424464543
tierfed_0.6,6,21.90336,0.668978741854376,0.0044494566264048465
tierfed_0.6,7,21.90336,0.6737627899069495,0.004784112292669308
tierfed_0.6,8,25.55392,0.6753371220040041,0.0048120571323626345
tierfed_0.6,9,25.55392,0.6792546795404373,0.00482550340039832
tierfed_0.6,10,29.20448,0.6777239747824847,0.004691041593922057
tierfed_0.6,11,29.20448,0.6814419540630958,0.004653136335199345
tierfed_0.6,12,32.85504,0.6798817652703112,0.0044939139686739765
tierfed_0.6,13,32.85504,0.6836086354004067,0.004652065925204548
tierfed_0.6,14,36.5056,0.6819134418538612,0.004581745484696485
tierfed_0.6,15,36.5056,0.6858716590369638,0.004690580114399534
tierfed_0.6,16,40.15616,0.6842642032725635,0.00471313976500566
tierfed_0.6,17,40.15616,0.6883576151141007,0.00478979935167342
tierfed_0.6,18,43.80672,0.6866064950729054,0.004583097587813261
tierfed_0.6,19,43.80672,0.690936935687172,0.004679832441937142
tierfed_0.6,20,47.45728,0.6889942420931561,0.004563567125692407
tierfed_0.6,21,47.45728,0.6931774153338565,0.004653161458730125
tierfed_0.6,22,51.10784,0.6912288520387179,0.004553026869210204
tierfed_0.6,23,51.10784,0.6955957493524567,0.0047625502483012
tierfed_0.6,24,54.7584,0.6932724145665932,0.004694601965290081
tierfed_0.6,25,54.7584,0.6976829635322168,0.004845909983390812
tierfed_0.6,26,58.40896,0.6952877430027116,0.004809600377850139
tierfed_0.6,27,58.40896,0.6997728123725233,0.004714529447806975
tierfed_0.6,28,62.05952,0.6973185749215078,0.004618862017654679
tierfed_0.6,29,62.05952,0.7019583451695923,0.004674911218381258
tierfed_0.6,30,65.71008,0.6993644413094595,0.004451640600239535
tierfed_0.6,31,65.71008,0.7039552048466905,0.004279065345350312
tierfed_0.6,32,69.36064,0.7012813441761655,0.004387361312378194
tierfed_0.6,33,69.36064,0.7059970413497665,0.004401860093622567
tierfed_0.6,34,73.0112,0.7031785852026164,0.004382135139498681
tierfed_0.6,35,73.0112,0.708314900476154,0.004476542688320222
tierfed_0.6,36,76.66176,0.7055125028148621,0.004663544282329097
tierfed_0.6,37,76.66176,0.7105991979218068,0.0046483815957966005
tierfed_0.6,38,80.31232,0.707545749706368,0.004744085962042936
tierfed_0.6,39,80.31232,0.7124213335959804,0.004921460928617428
tierfed_0.6,40,83.96288,0.7090531526126495,0.005061296020027527
tierfed_0.6,41,83.96288,0.7143082607658184,0.005068957096173427
tierfed_0.6,42,87.61344,0.7108411353849554,0.005134708819353531
tierfed_0.6,43,87.61344,0.7161091556707339,0.004998794126413021
tierfed_0.6,44,91.264,0.7127949270094481,0.005085724946035587
tierfed_0.6,45,91.264,0.7180417144088918,0.0051390973189904335
tierfed_0.6,46,94.91456,0.7145264896561547,0.005277061879614095
tierfed_0.6,47,94.91456,0.7199240347670074,0.005214260607833952
tierfed_0.6,48,98.56512,0.716437091389792,0.0053685659892366375
tierfed_0.6,49,98.56512,0.7217191441792097,0.005348650900507382
tierfed_0.6,50,102.21568,0.7180028799997912,0.005121562365513246
tierfed_0.6,51,102.21568,0.7231192563434979,0.005042342814999549
tierfed_0.6,52,105.86624,0.7193866171504734,0.005204211692150242
tierfed_0.6,53,105.86624,0.7247015701825014,0.005275464375268893
tierfed_0.6,54,109.5168,0.7209461141611431,0.005296743777305117
tierfed_0.6,55,109.5168,0.7260948703872939,0.005553248470193214
tierfed_0.6,56,113.16736,0.7223779677829613,0.005721305565840993
tierfed_0.6,57,113.16736,0.7278159230888834,0.005612158387171568
tierfed_0.6,58,116.81792,0.723949007267002,0.00541377900202635
tierfed_0.6,59,116.81792,0.7294478492729124,0.005490762455813152
