loss,strategy,n_seeds,fed_auroc_final_mean,fed_auroc_final_std,fed_auroc_final_ci_lo,fed_auroc_final_ci_hi,fed_auroc_best_mean,fed_auroc_best_std,fed_auroc_best_ci_lo,fed_auroc_best_ci_hi,fed_auroc_ppd_mean,fed_auroc_ppd_std,fed_auroc_ppd_ci_lo,fed_auroc_ppd_ci_hi,fed_auroc_earlystop_value_mean,fed_auroc_earlystop_value_std,fed_auroc_earlystop_value_ci_lo,fed_auroc_earlystop_value_ci_hi,fed_auprc_final_mean,fed_auprc_final_std,fed_auprc_final_ci_lo,fed_auprc_final_ci_hi,fed_auprc_best_mean,fed_auprc_best_std,fed_auprc_best_ci_lo,fed_auprc_best_ci_hi,fed_f1_final_mean,fed_f1_final_std,fed_f1_final_ci_lo,fed_f1_final_ci_hi,fed_f1_best_final_mean,fed_f1_best_final_std,fed_f1_best_final_ci_lo,fed_f1_best_final_ci_hi,fed_ece_final_mean,fed_ece_final_std,fed_ece_final_ci_lo,fed_ece_final_ci_hi,global_auroc_final_mean,global_auroc_final_std,global_auroc_final_ci_lo,global_auroc_final_ci_hi,total_upload_mb_mean,total_upload_mb_std,total_upload_mb_ci_lo,total_upload_mb_ci_hi,divergence_total_mean_mean,divergence_total_mean_std,divergence_total_mean_ci_lo,divergence_total_mean_ci_hi
cb,fedavg,10,0.734075032556101,0.00895003638882086,0.7270911293314128,0.7381292671040245,0.7345803657920542,0.008490367311285793,0.7281684107598659,0.7385138202776658,0.0005053332359532314,0.0008386633439080077,0.00012196253176587346,0.0010474656722787357,0.7345803657920542,0.008490367311285793,0.7281684107598659,0.7385138202776658,0.35779399449000865,0.011550398046140865,0.351437156887033,0.36499307422875377,0.358082396336312,0.011516903925269543,0.35170220351885007,0.3651305569415325,0.1955649246764834,0.012149529718240194,0.18726414586018242,0.20181012894065972,0.37710512489106435,0.012567755857672488,0.3691789133927174,0.3838844354214822,0.05592490262492785,0.0030926835259178845,0.05400792527144826,0.057613483542692356,0.6384560291556894,0.007481431688147548,0.6348131385003544,0.6438323963664456,219.6576,0.0,219.6576,219.6576,0.004764927531273148,5.886594583126224e-05,0.004724158298256044,0.004793980915478924
cb,nested,10,0.6896005075089244,0.00624883997486726,0.6857901019489122,0.6930407536871916,0.7477028856323014,0.006944115692719939,0.7437866733995417,0.7519438562428633,0.058102378123376985,0.0037474338265753564,0.05601261484512558,0.060467064242409226,0.7477028856323014,0.006944115692719939,0.7437866733995417,0.7519438562428633,0.2727020485613544,0.008072349089207257,0.2675061084621919,0.2770746411290445,0.3489079024528602,0.012037640259160268,0.34162193906902805,0.35589392855738644,0.10587820739611498,0.017505995026116408,0.09648690237855341,0.11697574449708906,0.3218511260931104,0.0070142364508358765,0.3173370110036525,0.325649206201332,0.0820178673197036,0.004691038669426858,0.07948607253445594,0.08502190644109857,0.5467813806193997,0.13211843050315117,0.45183076378114834,0.6123244728154598,128.69632,0.0,128.69632,128.69632,0.006670132982050991,8.225425982139158e-05,0.006619767714779498,0.0067155955113245925
focal,fedavg,10,0.7366885529535789,0.007072055883265047,0.7325424169180207,0.7409346735733654,0.7372286811726152,0.006830768069529512,0.7333987934155896,0.7414726290155911,0.0005401282190362177,0.0007071059313859985,0.000205362063997927,0.0010663381546278036,0.7372286811726152,0.006830768069529512,0.7333987934155896,0.7414726290155911,0.33829262912242125,0.006863520538552515,0.33359638721280854,0.3418085242261145,0.33932757738558195,0.007264386785285465,0.3345411407334173,0.34317354650050724,0.3133160696540681,0.009737712273547978,0.30741401585262507,0.3188612396877522,0.36987456759662934,0.008090320874904612,0.36429890100448353,0.374016075764862,0.35887266655857136,0.004987847742810304,0.3558716642294497,0.3617229502606545,0.6370223785337311,0.007302819281478065,0.6335024055211659,0.6422897097399592,219.6576,0.0,219.6576,219.6576,0.004670273646784408,7.82881082424356e-05,0.004628010039478675,0.004719384451259608
focal,nested,10,0.6938026846927581,0.003644850996659489,0.6915342105695228,0.6958150280961448,0.7468776993338848,0.0064538898108825885,0.742696146271033,0.7503269285945074,0.05307501464112685,0.004788203806621617,0.050412615046209634,0.05608726929269753,0.7468776993338848,0.0064538898108825885,0.742696146271033,0.7503269285945074,0.26961804871666495,0.006913590027370644,0.26475722164156323,0.27307563324380585,0.3377914110808666,0.013116461453667932,0.32881284218263535,0.34460201894907444,0.2886390474884151,0.005810065056514104,0.2842622206145433,0.29140945127925594,0.3212784633265105,0.006484800793110393,0.3177698376008896,0.32539963330126304,0.3731070637252964,0.003938898217695316,0.37106906218378255,0.3758047850469872,0.509738495026577,0.11844486920946208,0.4399451768720236,0.5804124020768919,128.69632,0.0,128.69632,128.69632,0.006665657427137034,8.418798250919215e-05,0.006605835912274638,0.006707220481523895
ldam,fedavg,10,0.704553933690436,0.006212280566347032,0.7004477186615516,0.7078103136969339,0.7057564701250387,0.006210926227320028,0.7019685141038945,0.7091960034763987,0.0012025364346027634,0.0014078281371217942,0.0004341563509812074,0.0021075481047998835,0.7057564701250387,0.006210926227320028,0.7019685141038945,0.7091960034763987,0.27650226572604464,0.008796805723377025,0.27086228660338346,0.28118631822830636,0.2795548380629554,0.009147321034550196,0.2739663660954549,0.28472453594048575,0.3109628559522622,0.0061681166261229525,0.30728357789639416,0.3144422168241314,0.35155482386952003,0.006245032922417983,0.34823823463663883,0.35564501481966554,0.36988246386848067,0.0030777850397818917,0.3683877205680001,0.3720466096154396,0.6421724162649127,0.008542918251982733,0.6374051383270276,0.6473953734957908,219.6576,0.0,219.6576,219.6576,0.004448882939921626,8.379344273933196e-05,0.00440737743134602,0.004510205445750049
ldam,nested,10,0.6725656225038609,0.007709037558306575,0.6680508244042898,0.676992604033028,0.694042064478813,0.007715095673254637,0.6893516635274741,0.6982791310817125,0.021476441974952222,0.0029460345105356326,0.02011393560380991,0.023767400219415997,0.6928782152398874,0.007427221970326821,0.6885887213118559,0.6972535044268786,0.2378159169053342,0.007413034282331237,0.2341295627142003,0.24314810299102604,0.2610931943405529,0.008026450121703665,0.25667130511628267,0.26603205743281805,0.2805045531558404,0.008596355853949385,0.27437826465986925,0.2847045474630604,0.30920988897342305,0.0065732608270549645,0.30546691709905893,0.3131427543807872,0.37709576800302064,0.004900362500684068,0.3743722311900095,0.3801037643998429,0.5490869784429031,0.12532298402923053,0.46197935153337244,0.6103892360007872,128.69632,0.0,128.69632,128.69632,0.006123932302960764,0.00012365646783280105,0.006046376070125769,0.006191561093170393
weighted_ce,fedavg,10,0.7398706265308388,0.005644000058109136,0.7360379125209278,0.7426917613089764,0.7407314688987526,0.0052302908538873856,0.7371345848694889,0.7432918141352148,0.0008608423679137723,0.0014814417643515235,0.00028274701685102597,0.0023529482770814018,0.7407314688987526,0.0052302908538873856,0.7371345848694889,0.7432918141352148,0.33794584228790014,0.010901532586695076,0.3319302671337699,0.34474840383282973,0.33870874407129925,0.011272164688570108,0.3325018549056491,0.34574492261548045,0.3205603990096015,0.00664231275344766,0.31627873329799455,0.324164161029555,0.37211896174747916,0.008822139924347171,0.36708255906154424,0.37726296227068196,0.3138872668727921,0.010633569746961216,0.30708927217711735,0.319555125273914,0.6368631247361791,0.007193496403929232,0.6328059807270547,0.6412426440272859,219.6576,0.0,219.6576,219.6576,0.004864512253484026,8.403851852765998e-05,0.0048181231105823945,0.0049170760241525535
weighted_ce,nested,10,0.6932275757402665,0.0035025473261596778,0.6910281693062398,0.6951421711781975,0.7503142193771198,0.004356974565543488,0.74772388077286,0.7527829997379624,0.05708664363685342,0.0029077727931346507,0.05508661186878717,0.058506203619931675,0.7503142193771198,0.004356974565543488,0.74772388077286,0.7527829997379624,0.26692194362469907,0.006543727977498553,0.2625018998379294,0.2703009442450979,0.3370732595389666,0.007682355070193829,0.332092395147375,0.3411491349239453,0.2935367973388048,0.005061223499691179,0.28971607985470094,0.2959113361320857,0.3215462539622186,0.005558620486138718,0.31809333958084895,0.32462706451263124,0.33622286232685017,0.009292957367696506,0.3318505325211229,0.3435903787099874,0.5224930612826373,0.12371991676987674,0.444464705387231,0.5906588843856417,128.69632,0.0,128.69632,128.69632,0.006771462261888271,0.00011995992457297071,0.006680097825324981,0.006827672315504698
