n_clients,strategy,seed,wall_s,s_per_round,peak_mem_mb,fed_auroc_final,fed_auroc_best,fed_auroc_best_round,fed_auroc_ppd,fed_auroc_auc_curve,fed_auroc_last10_mean,fed_auroc_earlystop_value,fed_auroc_earlystop_round,fed_auprc_final,fed_auprc_best,fed_auprc_best_round,fed_auprc_ppd,fed_auprc_auc_curve,fed_auprc_last10_mean,fed_auprc_earlystop_value,fed_auprc_earlystop_round,fed_f1_final,fed_f1_best,fed_f1_best_round,fed_f1_ppd,fed_f1_auc_curve,fed_f1_last10_mean,fed_f1_earlystop_value,fed_f1_earlystop_round,fed_f1_best_final,fed_f1_best_best,fed_f1_best_best_round,fed_f1_best_ppd,fed_f1_best_auc_curve,fed_f1_best_last10_mean,fed_f1_best_earlystop_value,fed_f1_best_earlystop_round,fed_ece_final,fed_ece_best,fed_ece_best_round,fed_ece_ppd,fed_ece_auc_curve,fed_ece_last10_mean,fed_ece_earlystop_value,fed_ece_earlystop_round,global_auroc_final,global_auroc_best,global_auroc_best_round,global_auroc_ppd,global_auroc_auc_curve,global_auroc_last10_mean,global_auroc_earlystop_value,global_auroc_earlystop_round,global_auprc_final,global_auprc_best,global_auprc_best_round,global_auprc_ppd,global_auprc_auc_curve,global_auprc_last10_mean,global_auprc_earlystop_value,global_auprc_earlystop_round,global_f1_final,global_f1_best,global_f1_best_round,global_f1_ppd,global_f1_auc_curve,global_f1_last10_mean,global_f1_earlystop_value,global_f1_earlystop_round,total_upload_mb,total_download_mb,rounds,divergence_slow_mean,divergence_slow_final,divergence_medium_mean,divergence_medium_final,divergence_total_mean,divergence_total_final,dispersion_abs_mean,dispersion_abs_final,divergence_fast_mean,divergence_fast_final
10,fedavg,42,85.02821007999955,2.8342736693333186,68.52099609375,0.712287385807743,0.712287385807743,30.0,0.0,0.6854368174864857,0.7049717328182701,0.712287385807743,30.0,0.28986766385250123,0.28986766385250123,30.0,0.0,0.2506963030453464,0.27801219414145684,0.28986766385250123,30.0,0.3029117797760796,0.3068939182021606,25.0,0.003982138426081028,0.2865446415340503,0.29882862560683854,0.3068939182021606,25.0,0.3368023987979768,0.3368023987979768,30.0,0.0,0.3121734009472413,0.3298283570791133,0.3368023987979768,30.0,0.32792029852365295,0.3665465180519686,1.0,0.03862621952831563,0.33796635119251456,0.33056905593694696,0.3665465180519686,1.0,0.6563769737840447,0.6682571381657993,6.0,0.011880164381754654,0.6635931076536982,0.6594171110971339,0.6682571381657993,6.0,0.21837361815483536,0.22387566066018705,6.0,0.00550204250535169,0.22154235468578912,0.21970951056639634,0.22387566066018705,6.0,0.2730932433902731,0.2812033814022874,7.0,0.008110138012014323,0.27605264015463327,0.2742926975502509,0.2812033814022874,7.0,54.9144,54.9144,30.0,0.011982116823022368,0.003995677155768505,0.017152065572471193,0.011316899595657364,0.014461525621985761,0.007385717562562617,3.328596799148772,3.7139304965421616,0.006933726533913512,0.00623970211181573
10,fedavg,43,83.11434585299867,2.7704781950999555,68.52099609375,0.7249365597140578,0.7249365597140578,30.0,0.0,0.7026282781855019,0.7182757688429707,0.7249365597140578,30.0,0.2986477421507451,0.2986477421507451,30.0,0.0,0.25648901942318514,0.28302249345870634,0.2986477421507451,30.0,0.3131498401877629,0.31422453999574174,29.0,0.0010746998079788628,0.2932450011330968,0.30424927498480825,0.31422453999574174,29.0,0.3466721106369326,0.3466721106369326,30.0,0.0,0.32056164869856935,0.3356607874191714,0.3466721106369326,30.0,0.33098753038255496,0.37088487673834264,2.0,0.03989734635578768,0.34531828392977654,0.3374537550449608,0.37088487673834264,2.0,0.6629101430642519,0.6739898532160907,12.0,0.01107971015183884,0.6696741569993638,0.6668623117826954,0.6739898532160907,12.0,0.21824143082083916,0.22568033312448413,11.0,0.0074389023036449675,0.22219792029242927,0.22096086480656543,0.22568033312448413,11.0,0.2793600363099966,0.2846025569760978,22.0,0.0052425206661012025,0.2785036250461434,0.2781819697073157,0.2846025569760978,22.0,54.9144,54.9144,30.0,0.012115945312955144,0.004414792645474297,0.016977258472759535,0.010093314240284493,0.014575950534238113,0.007209919470236167,3.282544342387185,3.5130905138030357,0.007778895924858229,0.006363399295827368
10,fedavg,44,81.66967348500111,2.722322449500037,68.52099609375,0.7151283415491643,0.7151283415491643,30.0,0.0,0.6891802154366466,0.7074364547427906,0.7151283415491643,30.0,0.2928762138471377,0.2928762138471377,30.0,0.0,0.25887909721499913,0.2829464452860031,0.2928762138471377,30.0,0.29289157500127033,0.2944599507950672,29.0,0.0015683757937968723,0.2815963969461584,0.2901797288965094,0.2944599507950672,29.0,0.3351329549482969,0.3351329549482969,30.0,0.0,0.30938136920354437,0.32756902616440986,0.3351329549482969,30.0,0.3313067652766017,0.3678738312893052,1.0,0.036567066012703486,0.3437312909563736,0.3362430513349911,0.3678738312893052,1.0,0.6482429336923614,0.6658837482039852,7.0,0.017640814511623804,0.6592797021302292,0.6537895868062896,0.6658837482039852,7.0,0.21676914037497952,0.22689903936372255,11.0,0.01012989898874303,0.22270025065279478,0.22102482718627217,0.22689903936372255,11.0,0.26660914581535805,0.28558107005478495,6.0,0.018971924239426896,0.27623093608329147,0.27120748361326863,0.28558107005478495,6.0,54.9144,54.9144,30.0,0.011919315743582163,0.003933350723241588,0.016926077878543402,0.011699396602550873,0.014309879728846344,0.007524904537332408,3.3192877931504126,3.7779378270497546,0.008118923083886733,0.009288723579880918
10,fedper,42,82.9315317110013,2.76438439036671,68.52001953125,0.707167663065065,0.707167663065065,30.0,0.0,0.6828643121792999,0.7016876010415675,0.707167663065065,30.0,0.28120040668183766,0.28120040668183766,30.0,0.0,0.2477971223297837,0.27233536887354787,0.28120040668183766,30.0,0.29879069548003473,0.30558468263983635,28.0,0.006793987159801618,0.28342126196801626,0.2985045665492449,0.30558468263983635,28.0,0.3331393925947913,0.3334560511142268,27.0,0.0003166585194355198,0.3111598873484704,0.3288894850883103,0.3334560511142268,27.0,0.3349800661693441,0.39215367785868555,1.0,0.05717361168934143,0.34371354554991224,0.33386625519622637,0.39215367785868555,1.0,0.545450035637933,0.6046542327368111,23.0,0.05920419709887803,0.5377666973927443,0.5730468171352624,0.5806677377540066,1.0,0.12892523511340345,0.19424429670718557,23.0,0.06531906159378212,0.13803069958745046,0.14999069554838557,0.1875824863152064,1.0,0.20516646460878485,0.2465478841870824,19.0,0.04138141957829755,0.20375083418946455,0.2211973633441952,0.22766471196964472,2.0,54.7584,54.7584,30.0,0.011858500864345147,0.003732727038106467,0.017808627873852945,0.010194212743624049,0.014778157857754675,0.006685494883882655,3.27698933146894,3.2953735368791968,,
10,fedper,43,82.29102514900296,2.743034171633432,68.52001953125,0.7280294399704466,0.7280294399704466,30.0,0.0,0.7000823653061677,0.7187557174086512,0.7280294399704466,30.0,0.2891752239974023,0.2891752239974023,30.0,0.0,0.2512219569800841,0.27646377305873643,0.2891752239974023,30.0,0.30939228589689477,0.31155379363136765,29.0,0.0021615077344728784,0.2910300544027043,0.3054043691605503,0.31155379363136765,29.0,0.3450758844980654,0.3450758844980654,30.0,0.0,0.31882821827633107,0.3360463864391988,0.3450758844980654,30.0,0.3358200663235852,0.3863268917476049,2.0,0.050506825424019686,0.3498486073889052,0.34210386692579486,0.3863268917476049,2.0,0.4260352507071742,0.4695685207343798,13.0,0.04353327002720564,0.4199025925778493,0.42223846553536537,0.4695685207343798,13.0,0.09471986712169682,0.1307103099376062,13.0,0.03599044281590939,0.09742756653244287,0.09502883423275985,0.11564361837427678,1.0,0.18003448480884715,0.20454751336171756,3.0,0.02451302855287041,0.17288966969498892,0.15991919453317938,0.20454751336171756,3.0,54.7584,54.7584,30.0,0.012312121341403666,0.0041460499211884785,0.018564397577310095,0.01064154905608604,0.015527667669237247,0.007232109706999213,3.3904177149136863,3.5156411265488714,,
10,fedper,44,81.61975549099952,2.7206585163666506,68.52001953125,0.7183285070546549,0.7183285070546549,30.0,0.0,0.6895246812692938,0.7100600304407362,0.7183285070546549,30.0,0.29859688228618464,0.29859688228618464,30.0,0.0,0.2638015079283178,0.2915235732196604,0.29859688228618464,30.0,0.2980323218397324,0.2980323218397324,30.0,0.0,0.2814476910591377,0.29386343838828455,0.2980323218397324,30.0,0.3398010342881242,0.3398010342881242,30.0,0.0,0.3115755846734619,0.33238303236053435,0.3398010342881242,30.0,0.33723055750421616,0.38838868449513014,1.0,0.05115812699091399,0.3472977461484046,0.3376892615435048,0.38838868449513014,1.0,0.5471523436678403,0.5912119502505598,6.0,0.04405960658271957,0.5590684224889053,0.5430567045973009,0.5912119502505598,6.0,0.12770970654035316,0.1456177951263678,6.0,0.017908088586014642,0.13317692644620063,0.12604890579306957,0.1456177951263678,6.0,0.139656912209889,0.1992608561749307,7.0,0.059603943965041706,0.11363271551770643,0.1043799705489598,0.1992608561749307,7.0,54.7584,54.7584,30.0,0.011997656709547657,0.0037923202149769786,0.016883518799182165,0.009718040412199347,0.01444509133033096,0.00653640847279106,3.197086354861191,3.226820630952716,,
10,fedlama,42,82.0509015380012,2.7350300512667065,68.52099609375,0.7243613783429594,0.7315269016253941,27.0,0.007165523282434694,0.6890140114066073,0.7119951296926614,0.7315269016253941,27.0,0.2953776754561616,0.3097522101811893,27.0,0.014374534725027699,0.2536140681117521,0.28243240738850073,0.3097522101811893,27.0,0.3155632444865605,0.3198756202501727,23.0,0.004312375763612208,0.289942321710395,0.3046041606664891,0.3198756202501727,23.0,0.34656626520656286,0.3503875512228721,27.0,0.003821286016309211,0.3148263142529094,0.33400980854649676,0.3503875512228721,27.0,0.31653409194756055,0.3665465180519686,1.0,0.050012426104408036,0.3370784331880157,0.32882008288207254,0.3665465180519686,1.0,0.6615488914843386,0.668003325504316,8.0,0.006454434019977362,0.6651014258402616,0.6634077125115374,0.668003325504316,8.0,0.21590581757682728,0.22409167125800702,6.0,0.008185853681179744,0.22098943364921375,0.21849416511205244,0.22409167125800702,6.0,0.27261292166952544,0.27918720692557414,7.0,0.006574285256048695,0.2758172403721596,0.274871451681553,0.27918720692557414,7.0,33.4396,33.4396,30.0,0.01519846281583432,0.007060530544874715,0.017253157497943122,0.01173883547356683,0.016237088210656517,0.011708222222092628,1.8790858251984446,1.4394079113276348,0.0068843933901672144,0.0005442417838486567
10,fedlama,43,81.75491485499879,2.7251638284999595,68.52099609375,0.7315017230189336,0.7424647654911564,27.0,0.010963042472222795,0.7038833020445104,0.7228012095135996,0.7424647654911564,27.0,0.29796734349447096,0.30889498361751305,27.0,0.010927640123042093,0.25531011510587237,0.2817854087989114,0.30889498361751305,27.0,0.31854705918016346,0.32512233148271485,27.0,0.006575272302551394,0.2968322512644177,0.3120270749539654,0.32512233148271485,27.0,0.3532241532766568,0.36291883210785675,27.0,0.009694678831199954,0.32204300535216207,0.3430440515333774,0.36291883210785675,27.0,0.3264930780502764,0.37088487673834264,2.0,0.04439179868806625,0.345097304926813,0.3360438224584728,0.37088487673834264,2.0,0.6721726047576778,0.6735285604689559,13.0,0.0013559557112781118,0.6713451131522991,0.6724785378021363,0.6735285604689559,13.0,0.22167971961310828,0.22516719407796118,13.0,0.0034874744648528966,0.22297764913259038,0.22329407460613587,0.22516719407796118,13.0,0.2839929119905493,0.2839929119905493,30.0,0.0,0.28003927905028037,0.2820058847874184,0.2839929119905493,30.0,32.2724,32.2724,30.0,0.015987007236426046,0.008667700883120482,0.018373051883185974,0.015743173263156468,0.016949943659040186,0.015709705407774454,1.7727128351475585,2.339243544265628,0.00899234703356756,0.005867799028904418
10,fedlama,44,80.93591706799998,2.697863902266666,68.52099609375,0.727643558316257,0.7357581413625502,27.0,0.0081145830462932,0.6947248628669751,0.7141321935961861,0.7357581413625502,27.0,0.3028942579871747,0.31567531614893146,27.0,0.012781058161756786,0.26301121305950276,0.2869042844745018,0.31567531614893146,27.0,0.30670833473013265,0.318176391257527,27.0,0.011468056527394355,0.2886342375876606,0.3000491225062124,0.318176391257527,27.0,0.34093447586948,0.3601966681472925,27.0,0.019262192277812507,0.3134966579831575,0.3328253298361298,0.3601966681472925,27.0,0.33797749800538995,0.3678738312893052,1.0,0.029896333283915222,0.342050960351729,0.3344832345742739,0.3678738312893052,1.0,0.6620439673555628,0.6657495318176038,7.0,0.0037055644620409556,0.6628614938596286,0.6626528629892523,0.6657495318176038,7.0,0.22673393598657265,0.2275025021082842,16.0,0.0007685661217115558,0.22456990037486857,0.22683322596764627,0.2275025021082842,16.0,0.2774674115456238,0.28480938416422286,6.0,0.007341972618599035,0.2794815345808085,0.2798020080999604,0.28480938416422286,6.0,31.79328,31.79328,30.0,0.015958692611220918,0.007611388014025943,0.017415063166126097,0.017975501965235764,0.016481854103517716,0.01779016768932489,1.7664680654692952,0.7288235290907323,0.009949262822834582,0.009640669113869411
10,nested,42,81.36575290200199,2.712191763400066,68.52001953125,0.67865013064395,0.72672299137922,29.0,0.04807286073527006,0.6885753668590276,0.7015209778217586,0.72672299137922,29.0,0.24090112549838047,0.2987991778629047,29.0,0.05789805236452425,0.25417796123271374,0.26969815951104426,0.2987991778629047,29.0,0.28152292128587314,0.31307559689503306,24.0,0.03155267560915992,0.28854346155524563,0.2957365018981738,0.31307559689503306,24.0,0.3009051638271692,0.34306935553139456,19.0,0.04216419170422536,0.3130121215979131,0.32106000689597924,0.34306935553139456,19.0,0.3415896934683025,0.39215367785868555,1.0,0.050563984390383065,0.34202036236114897,0.3367073968582838,0.39215367785868555,1.0,0.5994677702219481,0.6396660359981525,17.0,0.040198265776204445,0.49916973998556674,0.5059720443895191,0.5806677377540066,1.0,0.15839768078984617,0.18806898282041926,2.0,0.029671302030573082,0.12456645880491161,0.12098935962072048,0.18806898282041926,2.0,0.0111731843575419,0.2264315262355759,2.0,0.215258341878034,0.05212508864471976,0.008919997348052006,0.2264315262355759,2.0,32.59136,32.59136,30.0,0.025739129140838583,0.01495340643046122,0.01748448077327995,0.009262934186002877,0.01829314865346193,0.010805426130375514,2.016146742509833,2.814045413164422,,
