strategy,tag,n_seeds,fed_auroc_final_mean,fed_auroc_final_std,fed_auroc_final_ci_lo,fed_auroc_final_ci_hi,fed_auroc_best_mean,fed_auroc_best_std,fed_auroc_best_ci_lo,fed_auroc_best_ci_hi,fed_auroc_ppd_mean,fed_auroc_ppd_std,fed_auroc_ppd_ci_lo,fed_auroc_ppd_ci_hi,fed_auroc_earlystop_value_mean,fed_auroc_earlystop_value_std,fed_auroc_earlystop_value_ci_lo,fed_auroc_earlystop_value_ci_hi,fed_auprc_final_mean,fed_auprc_final_std,fed_auprc_final_ci_lo,fed_auprc_final_ci_hi,fed_auprc_best_mean,fed_auprc_best_std,fed_auprc_best_ci_lo,fed_auprc_best_ci_hi,fed_f1_final_mean,fed_f1_final_std,fed_f1_final_ci_lo,fed_f1_final_ci_hi,fed_f1_best_final_mean,fed_f1_best_final_std,fed_f1_best_final_ci_lo,fed_f1_best_final_ci_hi,fed_ece_final_mean,fed_ece_final_std,fed_ece_final_ci_lo,fed_ece_final_ci_hi,global_auroc_final_mean,global_auroc_final_std,global_auroc_final_ci_lo,global_auroc_final_ci_hi,total_upload_mb_mean,total_upload_mb_std,total_upload_mb_ci_lo,total_upload_mb_ci_hi,divergence_total_mean_mean,divergence_total_mean_std,divergence_total_mean_ci_lo,divergence_total_mean_ci_hi
nested,_tf_warm,10,0.7020299891141266,0.00495947595416188,0.6988254207001403,0.7046942438417221,0.7601696351459621,0.006660634597976121,0.7561898653618832,0.7640313569375791,0.05813964603183559,0.003762836398082201,0.056451643262392597,0.06118238452264327,0.7601696351459621,0.006660634597976121,0.7561898653618832,0.7640313569375791,0.2778704329211211,0.007897023433196749,0.2724936008741208,0.2818704125245815,0.34854154321287323,0.012953804641980423,0.34012682586941173,0.3554849241668951,0.29956390702470814,0.006063102455172495,0.2957821430204623,0.3029122540679414,0.32974561656825657,0.007140461532175436,0.3253390992057876,0.3336954289004115,0.3310669792944808,0.008570210462915236,0.3270233534288532,0.3377828661453019,0.5178710530280094,0.130311491006091,0.43776806827062686,0.591433261293531,140.69248,0.0,140.69248,140.69248,0.006105293078042297,5.8683868454213884e-05,0.006072292505367365,0.006140929021383582
tierfed,_tf_rho0.25,10,0.741810872640245,0.006858152017280221,0.7376714508658497,0.7457422619558968,0.742025359551221,0.006588848116681056,0.7381284204265711,0.7458294550049699,0.00021448691097583072,0.0005147479407339941,0.0,0.0006376848342554364,0.741236842292693,0.006831423789924646,0.7374350992556639,0.7454119700572579,0.32384618303014434,0.009971925014357699,0.3182173040764571,0.32984677819155217,0.32510043188592536,0.010196283609571819,0.3193111083934485,0.3312571254346719,0.3307702124661464,0.00734191908271202,0.3263266323837394,0.3349878867132247,0.369198236572473,0.0069822875848216046,0.3648762997951469,0.37308750203467345,0.3166003307422141,0.009174351280017642,0.31170167883462,0.3227176114956889,0.5213314815195017,0.12013015270367795,0.4494062794663554,0.591704688884196,65.71008000000002,1.4979556132593925e-14,65.71008000000002,65.71008000000002,0.002827108957057327,5.7364127589327424e-05,0.002795750192253551,0.002863903208516011
tierfed,_tf_rho0.4,10,0.7377090345734685,0.018956832181368854,0.7250884898883815,0.7474640704280427,0.7502515257185515,0.004993875248006442,0.7472170208038457,0.7531189053386254,0.012542491145083013,0.015402848177903074,0.004812654692403606,0.023313271610372444,0.7502515257185515,0.004993875248006442,0.7472170208038457,0.7531189053386254,0.3168846568685811,0.026282388645154902,0.2994797960393134,0.33032790772804566,0.33393609658655526,0.010476542962936444,0.327246280907923,0.33972707086188464,0.3247911571033676,0.01386612644907055,0.3163526710375391,0.3325659968507133,0.3630215332609906,0.020280348133798885,0.34983590948193355,0.373690645741747,0.3229602965002678,0.010025365690613955,0.3178998096037615,0.330047638065345,0.5286220704497107,0.10978307157317838,0.45880612965280293,0.5879995828433455,94.60889599999999,1.3297880785816154,93.847552,95.37024000000001,0.0052106294896238775,0.0006272874889416797,0.004784650528122642,0.005534739265683
tierfed,_tf_rho0.6,10,0.7406385773746635,0.006448020760817179,0.7372924135097684,0.7450671817490075,0.7409754648149016,0.006245961387102651,0.7376364686392091,0.745130216611634,0.00033688744023808727,0.0007154459768173704,0.0,0.0008239100484828011,0.7409754648149016,0.006245961387102651,0.7376364686392091,0.745130216611634,0.32275174111694105,0.010639577346499276,0.3153824551859119,0.32813758421152317,0.32443696323690185,0.009705092188518095,0.31779715216597293,0.3293165047672023,0.3299142140500785,0.006040431756434581,0.3264053131152961,0.3335227842187327,0.3668045040128323,0.005901464137105285,0.3638214774488627,0.37070655428787497,0.320450785851632,0.00628796611598362,0.31685668233483244,0.3242961005339944,0.538611476704528,0.09613453177553014,0.4792503430113576,0.5919773313695529,116.81792,0.0,116.81792,116.81792,0.0038619441131688055,5.7082638441690384e-05,0.003835053161182098,0.0039051416477501872
