strategy,dp_sigma,n_seeds,fed_auroc_final_mean,fed_auroc_final_std,fed_auroc_final_ci_lo,fed_auroc_final_ci_hi,fed_auroc_best_mean,fed_auroc_best_std,fed_auroc_best_ci_lo,fed_auroc_best_ci_hi,fed_auroc_ppd_mean,fed_auroc_ppd_std,fed_auroc_ppd_ci_lo,fed_auroc_ppd_ci_hi,fed_auroc_earlystop_value_mean,fed_auroc_earlystop_value_std,fed_auroc_earlystop_value_ci_lo,fed_auroc_earlystop_value_ci_hi,fed_auprc_final_mean,fed_auprc_final_std,fed_auprc_final_ci_lo,fed_auprc_final_ci_hi,fed_auprc_best_mean,fed_auprc_best_std,fed_auprc_best_ci_lo,fed_auprc_best_ci_hi,fed_f1_final_mean,fed_f1_final_std,fed_f1_final_ci_lo,fed_f1_final_ci_hi,fed_f1_best_final_mean,fed_f1_best_final_std,fed_f1_best_final_ci_lo,fed_f1_best_final_ci_hi,fed_ece_final_mean,fed_ece_final_std,fed_ece_final_ci_lo,fed_ece_final_ci_hi,global_auroc_final_mean,global_auroc_final_std,global_auroc_final_ci_lo,global_auroc_final_ci_hi,total_upload_mb_mean,total_upload_mb_std,total_upload_mb_ci_lo,total_upload_mb_ci_hi,divergence_total_mean_mean,divergence_total_mean_std,divergence_total_mean_ci_lo,divergence_total_mean_ci_hi
fedavg,0.0,1,0.7381025338489576,0.0,,,0.7386431196432769,0.0,,,0.0005405857943192593,0.0,,,0.7386431196432769,0.0,,,0.33974813104327234,0.0,,,0.33974813104327234,0.0,,,0.3116704820012529,0.0,,,0.3619327554723282,0.0,,,0.3319535164337965,0.0,,,0.6360925796146003,0.0,,,219.6576,0.0,,,0.004783779602623137,0.0,,
fedavg,0.5,5,0.7355943020096013,0.005433595709712796,0.7309989557270382,0.7395400139950219,0.7361339827761255,0.005491779091297266,0.731528861880173,0.7399685140691173,0.0005396807665241754,0.0006309241894411238,0.00012323823183959525,0.0010482143593017802,0.7361339827761255,0.005491779091297266,0.731528861880173,0.7399685140691173,0.3300245768557571,0.007037139623241995,0.3248417063932105,0.33582679266757454,0.33010219951261405,0.007025771825421578,0.3248417063932105,0.33582679266757454,0.3149463001584684,0.0037992860010538244,0.31282753803491187,0.3185564185038786,0.3658117050202796,0.006529843713067394,0.3618596460694762,0.3726904902690916,0.31768682708660984,0.009344770297107572,0.3116671840015094,0.32644389679849045,0.6390778607642346,0.004952559020268022,0.6349250137629837,0.6426647375314797,219.6576,0.0,219.6576,219.6576,0.00476980682788156,5.391553534331588e-05,0.004727137680124973,0.004814211968354971
fedavg,1.0,10,0.7385564080536395,0.004675940710751438,0.7359422476169277,0.741388236697311,0.7395730945067511,0.004485629567728706,0.73697313983426,0.74216495420784,0.0010166864531115816,0.001404353205452979,0.0004374108199116433,0.002324054168580625,0.7395730945067511,0.004485629567728706,0.73697313983426,0.74216495420784,0.3320830183208193,0.008418028426578716,0.32731841139248913,0.33712342176635185,0.3326273610551588,0.008599980243438382,0.3276527267088261,0.33773005758324703,0.31765034096639433,0.00648585697558271,0.31416215381877277,0.3218620940286831,0.36841896475768704,0.005803462366390821,0.36518924829705807,0.3718681031365484,0.3167149053131397,0.006191970800753396,0.3141492487579606,0.322224547138724,0.6351705412764268,0.008536622224258224,0.6307403103832648,0.6409910572092368,219.6576,0.0,219.6576,219.6576,0.004821977165818526,6.523432830124804e-05,0.004787223327476424,0.004864906724496267
fedavg,2.0,5,0.7394449698988856,0.004995630315649439,0.7348305970030224,0.7429027674553664,0.7399774550321785,0.004914229892460919,0.735301596099718,0.7430108846142303,0.0005324851332929148,0.0008656432714068577,3.7408549508555214e-05,0.0014332254167520597,0.7399774550321785,0.004914229892460919,0.735301596099718,0.7430108846142303,0.33499211799823414,0.007350817410077837,0.3280086119901499,0.33978642691045047,0.3355066608201801,0.006919282066007313,0.3290291602066432,0.3402456629310338,0.31629142565171664,0.005467703385895766,0.31227486142129074,0.3205447504281979,0.37031424860291867,0.007862892495128653,0.36425306088465376,0.37637543632118364,0.3178686423785993,0.008599631877625878,0.31279802919700267,0.3270954027318084,0.6358080960930594,0.0068899967663305335,0.6302693077205382,0.64172630207966,219.6576,0.0,219.6576,219.6576,0.004821565603863253,6.477603030448118e-05,0.00478199261227944,0.004892281108166221
nested,0.0,1,0.6910542507020137,0.0,,,0.7477395884044226,0.0,,,0.05668533770240891,0.0,,,0.7477395884044226,0.0,,,0.26858237721146755,0.0,,,0.3361972143722372,0.0,,,0.2821576049823342,0.0,,,0.3209437418674868,0.0,,,0.34568191876955945,0.0,,,0.5777249415182999,0.0,,,128.69632,0.0,,,0.006756252145516681,0.0,,
nested,0.5,5,0.6703355383131347,0.007739644982038628,0.665265775126113,0.6773566560855517,0.7080595223083928,0.005253874012737574,0.7042339971143841,0.7124299495914072,0.03772398399525789,0.00338112266495967,0.033449658587026046,0.03946025955182057,0.706868395551532,0.006273753908033664,0.7025934330394861,0.7119211038840862,0.23233483352440826,0.002238489751872107,0.23032699089911385,0.23385215560566547,0.27560759126156437,0.007230853263021978,0.26822977137243054,0.2804209981901692,0.27691170480704563,0.006998711348912863,0.27198291588626294,0.28261613229767163,0.29642072646630113,0.005298964557996679,0.293238331826172,0.30218862940872926,0.3469505517840533,0.007285443890496708,0.33787084433886444,0.3506594307823379,0.4946602986398051,0.04796983824607622,0.45634640582949143,0.5301205289503553,128.69632,0.0,128.69632,128.69632,0.004290151045874396,2.9831225750534443e-05,0.004255126123861304,0.004306535236719528
nested,1.0,10,0.6744067610407827,0.019540009948088834,0.6627075481954973,0.6856807105931876,0.7196707302044251,0.03187349500694397,0.7010364979798338,0.7382692031846537,0.04526396916364248,0.012880156774815231,0.037680938546769446,0.052669866820380155,0.7196707302044251,0.03187349500694397,0.7010364979798338,0.7382692031846537,0.2405718093209228,0.02246185819533983,0.22748301105450067,0.2538731006657104,0.28967512390211214,0.045075588117577656,0.26341670890584645,0.31605981770650116,0.2796850978118054,0.01245800123975834,0.2720584247411523,0.2867441708298595,0.3018285426942292,0.01596383222142257,0.2919902191697196,0.3109265231897136,0.34375439450545076,0.014053851106105074,0.3359341174122707,0.3523262674559409,0.5402753545483656,0.08229759622755692,0.486944151602202,0.5840023911968119,128.69632,0.0,128.69632,128.69632,0.004471410539675333,0.002471257426968561,0.0030579855979922005,0.005887104775873637
nested,2.0,5,0.5979726177887958,0.01405381915533759,0.5871283969616788,0.6086700528094158,0.6642382364408952,0.004128461168629356,0.6609803718609657,0.6670435793587258,0.06626561865209937,0.01687850890124487,0.052010690445581285,0.07978741196609282,0.6642382364408952,0.004128461168629356,0.6609803718609657,0.6670435793587258,0.18055102593568803,0.011887914881636168,0.16467356587116497,0.1863824071294579,0.22152705139592532,0.003157712482741952,0.2184980306775252,0.2236379296393573,0.19661917790816566,0.014068494564915242,0.18081160646457267,0.20451545820117728,0.2528968942903985,0.011013390726797204,0.23829574885584096,0.25845602209283774,0.36113468771517826,0.007198425052975968,0.35419860884371535,0.36617715698199643,0.5646410161562144,0.04610322430061158,0.5209616479217178,0.5957447620219858,128.69632,0.0,128.69632,128.69632,0.0009983749303223081,1.3299733391031408e-05,0.0009872827486332887,0.0010075389532206425
