cell,seed,fed_auroc_final,fed_auroc_best,fed_auroc_best_round,fed_auroc_ppd,fed_auroc_auc_curve,fed_auroc_last10_mean,fed_auroc_earlystop_value,fed_auroc_earlystop_round,fed_auprc_final,fed_auprc_best,fed_auprc_best_round,fed_auprc_ppd,fed_auprc_auc_curve,fed_auprc_last10_mean,fed_auprc_earlystop_value,fed_auprc_earlystop_round,fed_f1_final,fed_f1_best,fed_f1_best_round,fed_f1_ppd,fed_f1_auc_curve,fed_f1_last10_mean,fed_f1_earlystop_value,fed_f1_earlystop_round,fed_f1_best_final,fed_f1_best_best,fed_f1_best_best_round,fed_f1_best_ppd,fed_f1_best_auc_curve,fed_f1_best_last10_mean,fed_f1_best_earlystop_value,fed_f1_best_earlystop_round,fed_ece_final,fed_ece_best,fed_ece_best_round,fed_ece_ppd,fed_ece_auc_curve,fed_ece_last10_mean,fed_ece_earlystop_value,fed_ece_earlystop_round,global_auroc_final,global_auroc_best,global_auroc_best_round,global_auroc_ppd,global_auroc_auc_curve,global_auroc_last10_mean,global_auroc_earlystop_value,global_auroc_earlystop_round,global_auprc_final,global_auprc_best,global_auprc_best_round,global_auprc_ppd,global_auprc_auc_curve,global_auprc_last10_mean,global_auprc_earlystop_value,global_auprc_earlystop_round,global_f1_final,global_f1_best,global_f1_best_round,global_f1_ppd,global_f1_auc_curve,global_f1_last10_mean,global_f1_earlystop_value,global_f1_earlystop_round,total_upload_mb,total_download_mb,rounds,divergence_total_mean,divergence_total_final,divergence_fast_mean,divergence_fast_final,divergence_slow_mean,divergence_slow_final,divergence_medium_mean,divergence_medium_final,dispersion_abs_mean,dispersion_abs_final
mlp_fedavg,42,0.7375360548444938,0.7375360548444938,60.0,0.0,0.7043691995411485,0.7328012017739479,0.7375360548444938,60.0,0.3335116039389275,0.3335116039389275,60.0,0.0,0.28241838280364395,0.3266466884485298,0.3335116039389275,60.0,0.30996964505362884,0.3144800576399755,59.0,0.004510412586346657,0.29629663257785394,0.3092456790148144,0.313022282340444,45.0,0.36420949921129314,0.364415833281594,59.0,0.00020633407030085094,0.3319421961380116,0.3608939752339588,0.364415833281594,59.0,0.32932835958410284,0.3661048825443811,1.0,0.03677652296027828,0.330154741243132,0.3236100373569526,0.3661048825443811,1.0,0.6430044286011241,0.6677607947999489,6.0,0.02475636619882482,0.6551278507188166,0.6446386558553308,0.6677607947999489,6.0,0.2109371677548484,0.22458508705626917,5.0,0.013647919301420786,0.21779559966628811,0.21265300403045143,0.22458508705626917,5.0,0.2617616580310881,0.28024346943951306,3.0,0.018481811408424975,0.2708285472511223,0.2648054766922002,0.28024346943951306,3.0,219.6576,219.6576,60.0,0.004803618607187711,0.0016508064066861417,0.0036031882432793214,0.0033654679969499102,0.003509511742755267,0.0007206240756560597,0.006233159251906615,0.0027138920338701834,1.695385252396856,1.7716305843041482
mlp_fedavg,43,0.7409679506521601,0.7409679506521601,60.0,0.0,0.7114729659873461,0.7385008035525273,0.7409679506521601,60.0,0.33497253849523917,0.33497253849523917,60.0,0.0,0.2796972474331622,0.32940115556798344,0.33497253849523917,60.0,0.30990350332601496,0.31470380890771443,54.0,0.004800305581699471,0.2955826682950234,0.30920660008621187,0.31470380890771443,54.0,0.3645978098377239,0.3645978098377239,60.0,0.0,0.33209004845227785,0.3590935847553467,0.3645978098377239,60.0,0.32164961494580574,0.36792157872652986,2.0,0.046271963780724124,0.3343791473178113,0.32643402486488104,0.36792157872652986,2.0,0.6506433677226796,0.6720666873849749,10.0,0.02142331966229527,0.6613509968790852,0.6505671661967567,0.6720666873849749,10.0,0.2088923060538623,0.22547818364973826,7.0,0.01658587759587596,0.21686802378524855,0.20753112565068793,0.22547818364973826,7.0,0.2707938982295958,0.28253968253968254,17.0,0.011745784310086715,0.2769004663240835,0.27340046487111214,0.28253968253968254,17.0,219.6576,219.6576,60.0,0.004870163093903424,0.001557470343711829,0.00432769820866869,0.003494367462534199,0.0035711556055509196,0.0007423226897053312,0.006176680256057434,0.002390546745053384,1.6824856020705057,1.6320994252919263
mlp_fedavg,44,0.7375884398563174,0.7375884398563174,60.0,0.0,0.7043943923747032,0.7331413441452437,0.7375884398563174,60.0,0.34584377638961034,0.34584377638961034,60.0,0.0,0.29099396843240405,0.33698761159376556,0.34584377638961034,60.0,0.31004773841670386,0.3188517742655352,59.0,0.008804035848831326,0.29362539744232036,0.3095892014030333,0.31622214882160904,43.0,0.3712079653731146,0.37184266965734736,59.0,0.0006347042842327344,0.33329779288122235,0.3657141147275513,0.37184266965734736,59.0,0.3224882152502636,0.3693784453938658,1.0,0.04689023014360216,0.33104471425901855,0.32016710699576645,0.3693784453938658,1.0,0.6357336652947774,0.6654566150644924,6.0,0.029722949769715012,0.6515891278711661,0.6396383017098025,0.6654566150644924,6.0,0.2060384660925528,0.22716233181578488,14.0,0.021123865723232077,0.21723901530238948,0.208721350134365,0.22716233181578488,14.0,0.2592515157850721,0.2842402653236703,4.0,0.0249887495385982,0.2719004945376618,0.2610380085026077,0.2842402653236703,4.0,219.6576,219.6576,60.0,0.004759699551779766,0.0016450666711586544,0.004856284759847298,0.005314350913969298,0.0035011586183825148,0.0007550757448403046,0.006152548553305575,0.002675312092909176,1.6360114799458947,1.6823656898027366
mlp_fedper,42,0.7403353169547324,0.7403353169547324,60.0,0.0,0.7036846822347183,0.734469138412718,0.7403353169547324,60.0,0.3386889103789925,0.3386889103789925,60.0,0.0,0.28254817854252307,0.32951692467449883,0.3386889103789925,60.0,0.3203372035694305,0.32116785044331037,53.0,0.0008306468738798478,0.2962961921119252,0.31768463211135267,0.32116785044331037,53.0,0.37138555375692067,0.3723839508043788,55.0,0.0009983970474581327,0.33668216573691134,0.36858312690977174,0.3723839508043788,55.0,0.33068046497092674,0.3908186093824357,1.0,0.06013814441150894,0.3359766160595521,0.32857740682035363,0.3908186093824357,1.0,0.5091705495088672,0.6409528191314284,13.0,0.13178226962256123,0.5257966389874286,0.5016609626061979,0.6409528191314284,13.0,0.12083440928371952,0.2100520575175735,10.0,0.08921764823385397,0.1387274838844801,0.11815337168967373,0.2100520575175735,10.0,0.13763537906137185,0.26666666666666666,11.0,0.1290312876052948,0.1717311421463056,0.14020128545530777,0.26666666666666666,11.0,219.0336,219.0336,60.0,0.0049491924143466055,0.0014309503030893878,,,0.0035252764384111385,0.0006342865772730491,0.00646904002788182,0.002356959172326218,1.6487715936789755,1.507372359978035
mlp_fedper,43,0.7452961263643741,0.7452961263643741,60.0,0.0,0.709904015883623,0.7421033484804027,0.7452961263643741,60.0,0.32196707363286176,0.32367260257263364,57.0,0.0017055289397718831,0.27591011975000224,0.32069337616973975,0.32367260257263364,57.0,0.32738528883940327,0.328522469433571,59.0,0.0011371805941677304,0.29976680855843446,0.32358295290767114,0.328522469433571,59.0,0.36285813867547523,0.36799818955312813,56.0,0.005140050877652902,0.33732381152783597,0.3645840548875607,0.36799818955312813,56.0,0.3242641308393481,0.38550975668494114,1.0,0.061245625845593066,0.33801159400804554,0.3256186116339935,0.38550975668494114,1.0,0.5226445444596706,0.555019645162746,6.0,0.03237510070307548,0.5023957685624755,0.5142076923721772,0.555019645162746,6.0,0.12297941440559837,0.18485379639342825,6.0,0.06187438198782988,0.12544915302705723,0.12014534392375564,0.18485379639342825,6.0,0.20014380024838224,0.20464722255839282,41.0,0.00450342231001058,0.19637783196180175,0.19638280905717037,0.1991268493815183,6.0,219.0336,219.0336,60.0,0.005076034816420789,0.0015059882956132504,,,0.003641175952646647,0.0006988821817273438,0.006506445760734061,0.002352747867193052,1.6646166392757247,1.5817407591966912
mlp_fedper,44,0.7428864398039747,0.7430046831159076,58.0,0.00011824331193288629,0.703202995772454,0.7385104716802262,0.7430046831159076,58.0,0.3381153087546372,0.3381153087546372,60.0,0.0,0.2862684126168352,0.3321106107836934,0.3381153087546372,60.0,0.31927961060671606,0.3251901269956998,55.0,0.005910516388983766,0.2935281883475492,0.31698540678290615,0.3251901269956998,55.0,0.37202329082132635,0.37202329082132635,60.0,0.0,0.3320651494807357,0.3644404468807808,0.37202329082132635,60.0,0.3220895453173524,0.3861615471825646,1.0,0.06407200186521222,0.3364329496624608,0.3269024549560261,0.3861615471825646,1.0,0.5963082073063009,0.613104581759653,16.0,0.016796374453352136,0.5818367628977031,0.6023118311361836,0.613104581759653,16.0,0.14909026903675981,0.15959532042274643,52.0,0.010505051385986619,0.1432855694274817,0.15403213412674402,0.15608095321782509,16.0,0.2198581560283688,0.2198581560283688,60.0,0.0,0.1633053380095446,0.2040444755985534,0.18967391304347825,1.0,219.0336,219.0336,60.0,0.004901635404196577,0.0015397603485072609,,,0.0035121432486183374,0.000630861359285202,0.006370691145607083,0.0025614431273469043,1.6771354495179063,1.651973947416991
mlp_nested,42,0.6895750487673397,0.7513194146045393,59.0,0.061744365837199666,0.7018210390260416,0.7230390721783604,0.7513194146045393,59.0,0.2654559629187466,0.3394444962714394,54.0,0.07398853335269279,0.2746889639534693,0.30296475899043107,0.3394444962714394,54.0,0.28331412561501396,0.3317409241968426,49.0,0.048426798581828634,0.29541508803641287,0.30592609635998813,0.31388443728514764,19.0,0.31651558085082565,0.3736457950172913,59.0,0.05713021416646563,0.3287863161140943,0.3465965587926421,0.3736457950172913,59.0,0.3450614685181685,0.3908186093824357,1.0,0.04575714086426719,0.33679067674382523,0.336293664494861,0.3908186093824357,1.0,0.503806562449661,0.630603712961109,48.0,0.1267971505114479,0.5744220755765799,0.584028474655805,0.6110881735020937,10.0,0.13781747112515358,0.21264959106368075,10.0,0.07483211993852718,0.17697159015333877,0.17990690467675968,0.21264959106368075,10.0,0.1339572974553963,0.27391304347826084,10.0,0.13995574602286454,0.20632038390895113,0.16876435997917233,0.27391304347826084,10.0,128.69632,128.69632,60.0,0.006835959875178686,0.0032948766015534563,,,0.009627486026268322,0.004431332220502025,0.006550787149995124,0.0029723525258547405,1.0379845085156072,1.5431561471195891
mlp_nested,43,0.6998333178161752,0.7527479387675446,59.0,0.05291462095136945,0.708462763087417,0.7278347308290007,0.7527479387675446,59.0,0.25731394691548565,0.32429454337439184,59.0,0.0669805964589062,0.2631886780548564,0.2888805073197065,0.32429454337439184,59.0,0.2890889361990536,0.32961439026582146,54.0,0.04052545406676783,0.29795238069990765,0.3101482379114479,0.31869803404229136,29.0,0.32310823163430064,0.3696255933540045,59.0,0.04651736171970389,0.3312182074430597,0.3471707351959922,0.3696255933540045,59.0,0.33677666281107527,0.38550975668494114,1.0,0.048733093873865874,0.34096067777801464,0.3355756187084714,0.38550975668494114,1.0,0.5404030100813761,0.5652986500956343,58.0,0.024895640014258147,0.4947868341342477,0.5260139718568003,0.54898433773205,5.0,0.14335267800741455,0.18238914126261124,5.0,0.03903646325519669,0.12478126635639167,0.13581393835301275,0.18238914126261124,5.0,0.20145985401459854,0.21325478645066273,58.0,0.011794932436064193,0.19596243457158385,0.2047707215865874,0.1959340011785504,5.0,128.69632,128.69632,60.0,0.00681978439076462,0.003181084729493183,,,0.00972233226754893,0.0045141793772399364,0.0065042703526561035,0.0028125014944478006,1.016488182686347,1.4617842317093164
mlp_nested,44,0.6909993796290951,0.7433436462090599,59.0,0.05234426657996483,0.6990485035597674,0.7180674745549229,0.7433436462090599,59.0,0.2726463851542757,0.33484562363999554,54.0,0.06219923848571984,0.27842156744525987,0.3037963852665494,0.33484562363999554,54.0,0.28649249044453307,0.3295260777970324,54.0,0.04303358735249935,0.29327663681515526,0.30584270882941095,0.3295260777970324,54.0,0.319869699043151,0.3708791859874183,59.0,0.051009486944267324,0.3265576898901697,0.34447082020254605,0.3708791859874183,59.0,0.3444614795376076,0.3861615471825646,1.0,0.04170006764495704,0.33655155164021894,0.331745044345252,0.3861615471825646,1.0,0.5688746916662454,0.6158580444169272,29.0,0.04698335275068177,0.5748036562978245,0.5770985908521826,0.6002065062481963,16.0,0.13656164866752835,0.1502525791157611,27.0,0.013690930448232747,0.13777904789607595,0.13855623291273916,0.14741764808365304,16.0,0.06009783368273934,0.18967391304347825,1.0,0.1295760793607389,0.04773108760910662,0.020874973676547937,0.18967391304347825,1.0,128.69632,128.69632,60.0,0.006701345659659509,0.0031780741254085272,,,0.009703051732159443,0.00423495017923415,0.006362056003501588,0.002869430294770516,1.0138270501445126,1.4793302648467943
resnet_fedavg,42,0.720274036394385,0.728306569806331,59.0,0.008032533411945986,0.6911255755941049,0.7225860290515332,0.728306569806331,59.0,0.29561875309477614,0.30907166144378806,59.0,0.013452908349011916,0.2607623794839114,0.3007479875635076,0.30907166144378806,59.0,0.2977118364066714,0.3172437147268381,59.0,0.019531878320166673,0.28765101243966235,0.30244649607642693,0.2998719051030487,38.0,0.34659121982856383,0.34955564985341625,59.0,0.002964430024852416,0.3171779143088342,0.34550334083166406,0.34955564985341625,59.0,0.33861715132285014,0.36511566470614437,1.0,0.02649851338329423,0.32657252896333844,0.32450983756833973,0.36511566470614437,1.0,0.64173984544798,0.6668135245341029,6.0,0.025073679086122902,0.6571955523504813,0.6441530887036914,0.6668135245341029,6.0,0.19558299733534246,0.21916882958814232,2.0,0.023585832252799865,0.21032537121914835,0.19845704290294247,0.21916882958814232,2.0,0.26523871484335904,0.28038472748469834,10.0,0.015146012641339301,0.27348631537055224,0.2688850994014863,0.28038472748469834,10.0,1373.1936,1373.1936,60.0,0.0025150126014799336,0.002611746521330084,0.006460679279144478,0.007766149115577306,0.0023138894319521897,0.0009692792749469048,0.0026573346924195075,0.0029215534976114116,5.705999466926481,9.491317582613647
