strategy,sigma,seed,epsilon,fed_auroc_final,fed_auroc_best,fed_auroc_best_round,fed_auroc_ppd,fed_auroc_auc_curve,fed_auroc_last10_mean,fed_auroc_earlystop_value,fed_auroc_earlystop_round,fed_auprc_final,fed_auprc_best,fed_auprc_best_round,fed_auprc_ppd,fed_auprc_auc_curve,fed_auprc_last10_mean,fed_auprc_earlystop_value,fed_auprc_earlystop_round,fed_f1_final,fed_f1_best,fed_f1_best_round,fed_f1_ppd,fed_f1_auc_curve,fed_f1_last10_mean,fed_f1_earlystop_value,fed_f1_earlystop_round,fed_f1_best_final,fed_f1_best_best,fed_f1_best_best_round,fed_f1_best_ppd,fed_f1_best_auc_curve,fed_f1_best_last10_mean,fed_f1_best_earlystop_value,fed_f1_best_earlystop_round,fed_ece_final,fed_ece_best,fed_ece_best_round,fed_ece_ppd,fed_ece_auc_curve,fed_ece_last10_mean,fed_ece_earlystop_value,fed_ece_earlystop_round,global_auroc_final,global_auroc_best,global_auroc_best_round,global_auroc_ppd,global_auroc_auc_curve,global_auroc_last10_mean,global_auroc_earlystop_value,global_auroc_earlystop_round,global_auprc_final,global_auprc_best,global_auprc_best_round,global_auprc_ppd,global_auprc_auc_curve,global_auprc_last10_mean,global_auprc_earlystop_value,global_auprc_earlystop_round,global_f1_final,global_f1_best,global_f1_best_round,global_f1_ppd,global_f1_auc_curve,global_f1_last10_mean,global_f1_earlystop_value,global_f1_earlystop_round,total_upload_mb,total_download_mb,rounds,divergence_medium_mean,divergence_medium_final,dispersion_abs_mean,dispersion_abs_final,divergence_fast_mean,divergence_fast_final,divergence_total_mean,divergence_total_final,divergence_slow_mean,divergence_slow_final
fedavg,0.0,42,inf,0.7381025338489576,0.7386431196432769,59.0,0.0005405857943192593,0.7018625066774492,0.7343804600127507,0.7386431196432769,59.0,0.33974813104327234,0.33974813104327234,60.0,0.0,0.2846957528824246,0.33451814831740767,0.33974813104327234,60.0,0.3116704820012529,0.32154357436341763,49.0,0.009873092362164715,0.29655262262104126,0.3135935071518944,0.32154357436341763,49.0,0.3619327554723282,0.3675382552557873,58.0,0.005605499783459089,0.33093183507206864,0.3611634423553294,0.3675382552557873,58.0,0.3319535164337965,0.3662105130457507,1.0,0.034256996611954194,0.33040326576509904,0.3251061233665572,0.3662105130457507,1.0,0.6360925796146003,0.6674358267470882,6.0,0.03134324713248793,0.6532517961570131,0.6393715417789572,0.6674358267470882,6.0,0.20536609184505417,0.22423890365086419,5.0,0.01887281180581002,0.2146779378732871,0.20732376779946274,0.22423890365086419,5.0,0.25847728726807423,0.28336755646817247,9.0,0.024890269200098236,0.26965722831190436,0.26004451947983365,0.28336755646817247,9.0,219.6576,219.6576,60.0,0.0062476199346081,0.00299198764005063,1.6865436563297938,1.8773639301361982,0.0037061440433716485,0.003592253989746186,0.004783779602623137,0.0017516027504148345,0.0035018848741614522,0.0007058973862256992
fedavg,0.5,42,342.8612600716533,0.7381025338489576,0.7386431196432769,59.0,0.0005405857943192593,0.7018625066774492,0.7343804600127507,0.7386431196432769,59.0,0.33974813104327234,0.33974813104327234,60.0,0.0,0.2846957528824246,0.33451814831740767,0.33974813104327234,60.0,0.3116704820012529,0.32154357436341763,49.0,0.009873092362164715,0.29655262262104126,0.3135935071518944,0.32154357436341763,49.0,0.3619327554723282,0.3675382552557873,58.0,0.005605499783459089,0.33093183507206864,0.3611634423553294,0.3675382552557873,58.0,0.3319535164337965,0.3662105130457507,1.0,0.034256996611954194,0.33040326576509904,0.3251061233665572,0.3662105130457507,1.0,0.6360925796146003,0.6674358267470882,6.0,0.03134324713248793,0.6532517961570131,0.6393715417789572,0.6674358267470882,6.0,0.20536609184505417,0.22423890365086419,5.0,0.01887281180581002,0.2146779378732871,0.20732376779946274,0.22423890365086419,5.0,0.25847728726807423,0.28336755646817247,9.0,0.024890269200098236,0.26965722831190436,0.26004451947983365,0.28336755646817247,9.0,219.6576,219.6576,60.0,0.0062476199346081,0.00299198764005063,1.6865436563297938,1.8773639301361982,0.0037061440433716485,0.003592253989746186,0.004783779602623137,0.0017516027504148345,0.0035018848741614522,0.0007058973862256992
fedavg,1.0,42,110.68837010237718,0.7381025338489576,0.7386431196432769,59.0,0.0005405857943192593,0.7018625066774492,0.7343804600127507,0.7386431196432769,59.0,0.33974813104327234,0.33974813104327234,60.0,0.0,0.2846957528824246,0.33451814831740767,0.33974813104327234,60.0,0.3116704820012529,0.32154357436341763,49.0,0.009873092362164715,0.29655262262104126,0.3135935071518944,0.32154357436341763,49.0,0.3619327554723282,0.3675382552557873,58.0,0.005605499783459089,0.33093183507206864,0.3611634423553294,0.3675382552557873,58.0,0.3319535164337965,0.3662105130457507,1.0,0.034256996611954194,0.33040326576509904,0.3251061233665572,0.3662105130457507,1.0,0.6360925796146003,0.6674358267470882,6.0,0.03134324713248793,0.6532517961570131,0.6393715417789572,0.6674358267470882,6.0,0.20536609184505417,0.22423890365086419,5.0,0.01887281180581002,0.2146779378732871,0.20732376779946274,0.22423890365086419,5.0,0.25847728726807423,0.28336755646817247,9.0,0.024890269200098236,0.26965722831190436,0.26004451947983365,0.28336755646817247,9.0,219.6576,219.6576,60.0,0.0062476199346081,0.00299198764005063,1.6865436563297938,1.8773639301361982,0.0037061440433716485,0.003592253989746186,0.004783779602623137,0.0017516027504148345,0.0035018848741614522,0.0007058973862256992
fedavg,2.0,42,39.83175401905626,0.7381025338489576,0.7386431196432769,59.0,0.0005405857943192593,0.7018625066774492,0.7343804600127507,0.7386431196432769,59.0,0.33974813104327234,0.33974813104327234,60.0,0.0,0.2846957528824246,0.33451814831740767,0.33974813104327234,60.0,0.3116704820012529,0.32154357436341763,49.0,0.009873092362164715,0.29655262262104126,0.3135935071518944,0.32154357436341763,49.0,0.3619327554723282,0.3675382552557873,58.0,0.005605499783459089,0.33093183507206864,0.3611634423553294,0.3675382552557873,58.0,0.3319535164337965,0.3662105130457507,1.0,0.034256996611954194,0.33040326576509904,0.3251061233665572,0.3662105130457507,1.0,0.6360925796146003,0.6674358267470882,6.0,0.03134324713248793,0.6532517961570131,0.6393715417789572,0.6674358267470882,6.0,0.20536609184505417,0.22423890365086419,5.0,0.01887281180581002,0.2146779378732871,0.20732376779946274,0.22423890365086419,5.0,0.25847728726807423,0.28336755646817247,9.0,0.024890269200098236,0.26965722831190436,0.26004451947983365,0.28336755646817247,9.0,219.6576,219.6576,60.0,0.0062476199346081,0.00299198764005063,1.6865436563297938,1.8773639301361982,0.0037061440433716485,0.003592253989746186,0.004783779602623137,0.0017516027504148345,0.0035018848741614522,0.0007058973862256992
nested,0.0,42,inf,0.6910542507020137,0.7477395884044226,49.0,0.05668533770240891,0.7002083779141505,0.7211286424002379,0.7477395884044226,49.0,0.26858237721146755,0.3361972143722372,49.0,0.06761483716076966,0.27407217033007325,0.3022309305976606,0.3361972143722372,49.0,0.2821576049823342,0.32861665801713025,49.0,0.04645905303479603,0.2935908738013838,0.3030796476093653,0.3170429068598015,19.0,0.3209437418674868,0.37238410000880207,54.0,0.05144035814131526,0.32873487784267136,0.3456605565951175,0.37238410000880207,54.0,0.34568191876955945,0.39076453451468623,1.0,0.045082615745126786,0.3366345965204543,0.3352259179930923,0.39076453451468623,1.0,0.5777249415182999,0.6520163655894234,50.0,0.07429142407112355,0.6182148550888871,0.6231962120835257,0.6454184411382272,18.0,0.18552382205426277,0.2237258440569816,41.0,0.03820202200271883,0.20683149572423537,0.2047217400927967,0.21830453711158343,16.0,0.17516339869281045,0.27904903417533433,10.0,0.10388563548252389,0.23478152560936966,0.1791469518854438,0.27904903417533433,10.0,128.69632,128.69632,60.0,0.0064254839366407485,0.0023630740819521956,1.0137990835598127,1.3665796262212098,,,0.006756252145516681,0.00285507238610688,0.009733663953172305,0.004627437099501037
nested,0.5,42,342.8612600716533,0.6650371612014828,0.7048960381722831,49.0,0.03985887697080026,0.6787709441749058,0.6855829800398785,0.7048554489080241,24.0,0.23298751709455798,0.281458551040979,54.0,0.04847103394642102,0.24742149953032289,0.2586189713031527,0.2781386816500852,34.0,0.2752735217330446,0.3006490818144372,24.0,0.025375560081392634,0.2789843594317667,0.2852473309192979,0.3006490818144372,24.0,0.29447635153686763,0.3309541945720862,24.0,0.03647784303521856,0.3075520771682623,0.311827075713589,0.3309541945720862,24.0,0.349574982092743,0.3998208694715215,1.0,0.0502458873787785,0.3447915855831772,0.3466105159324552,0.3998208694715215,1.0,0.5483694396955925,0.5806120809355305,41.0,0.03224264123993803,0.4678846296523766,0.5165811751999341,0.5148568064888095,1.0,0.14783549374776667,0.14813456324156835,41.0,0.00029906949380167913,0.11109323961582268,0.13212851183476387,0.1267716601671631,9.0,0.19146857701074568,0.19146857701074568,60.0,0.0,0.12465371042353018,0.16850213800805738,0.18173679498657117,1.0,128.69632,128.69632,60.0,0.0040697839516626805,0.0012070902207780387,1.1756405979860574,1.6487032166915014,,,0.0043134598275120705,0.001393899472301693,0.007083029187555322,0.0021902400583218417
nested,1.0,42,110.68837010237718,0.6524847506350864,0.6864937693268846,24.0,0.034009018691798176,0.6629570724236217,0.6640457174408978,0.6864937693268846,24.0,0.21537872608930944,0.24736155890455958,19.0,0.031982832815250134,0.22735421242383014,0.22815141821513735,0.24736155890455958,19.0,0.26924159947235915,0.28957255218353717,19.0,0.02033095271117802,0.27006387756593436,0.27517336277066223,0.28957255218353717,19.0,0.28704388218994353,0.3113033585809687,24.0,0.02425947639102516,0.2943324912659582,0.2949924160402414,0.31001088855271747,9.0,0.3600047438200057,0.4038840883841958,1.0,0.043879344564190126,0.34804154709068663,0.3546148162059653,0.4038840883841958,1.0,0.5795521667908476,0.6326060909316206,41.0,0.05305392414077292,0.5856202540169666,0.604866932139442,0.6326060909316206,41.0,0.15697355680231434,0.1997406907200795,27.0,0.042767133917765154,0.16935916850882196,0.17334956673930782,0.1997406907200795,27.0,0.2156427337774488,0.24788732394366197,36.0,0.03224459016621317,0.21838622959458562,0.23140814881253496,0.24788732394366197,36.0,128.69632,128.69632,60.0,0.0020631677578808634,0.0003553569984186286,1.196949318536402,1.681404416100122,,,0.002139623596218333,0.00041911492686131144,0.00416049029484159,0.000730957484599985
nested,2.0,42,39.83175401905626,0.5953455551105428,0.6648997682030546,14.0,0.06955421309251186,0.6204716377816452,0.5996110613407739,0.6648997682030546,14.0,0.18469598165349305,0.2244034246111354,14.0,0.039707442957642364,0.1974652494455009,0.18467356874556182,0.2244034246111354,14.0,0.19631635800325128,0.27346152761509046,14.0,0.07714516961183918,0.23531980306204392,0.21456857585894826,0.27346152761509046,14.0,0.2601821564531082,0.298783491397284,14.0,0.03860133494417578,0.2680000012172471,0.25767311622038647,0.298783491397284,14.0,0.3675438465573051,0.41690415823372595,1.0,0.049360311676420854,0.361290462310354,0.36511864358196283,0.41690415823372595,1.0,0.6044540438826218,0.6174238771591394,18.0,0.012969833276517573,0.5694095390507731,0.5883614376631836,0.6174238771591394,18.0,0.1862722210767393,0.18947339585148693,59.0,0.0032011747747476282,0.1639953255266299,0.18363186500130285,0.18912228839114326,18.0,0.23969562460367788,0.23969562460367788,60.0,0.0,0.21152092137641845,0.21510696654199313,0.23931071620893915,18.0,128.69632,128.69632,60.0,0.0010474438033769458,8.68974481521477e-05,1.2128481746282584,1.5523283022921532,,,0.001002154911874818,0.00010031325016527516,0.002535312270004109,0.00016902613859980046
